CCI
VZ
T
AMGN
GILD
ILMN
BMRN
VRTX
QGEN
ALXN
PFE
BMY
JNJ
MRK
ABT
LLY
MDT
BAX
ARNA
UNH
HUM
CI
DGX
ALL
PGR
TRV
CB
FNF
WRB
PFG
AFL
UNM
LNC
MFC
MET
XOM
CVX
COP
OXY
SLB
DVN
APA
RIG
EOG
HES
MRO
HAL
NOV
WMB
VLO
SWN
NBL
NBR
DD
DOW
LYB
WLK
APD
FCX
NEM
FMC
NUE
PPG
WY
IP
ATI
AA
DHI
LEN
PHM
KBH
TOL
HD
LOW
MDC
SHW
MHK
LEG
SPG
EQR
VNO
NLY
BXP
VTR
PSA
SLG
AVB
DUK
ED
SO
CNP
EXC
ETR
PEG
AEP
XEL
EIX
PPL
PCG
FE
BA
LMT
GD
NOC
FLIR
AEM
AU
IAG
EGO
GOLD
AUY
KGC
GFI
HMY
PAAS
BVN
FB
TWTR
WB
SINA
YELP
BTU
CIF
EDU
LRN
STRA
LOPE
APEI
DAL
UNP
AAL
FDX
UPS
EXPD
CHRW
UAL
LUV
JBLU
WERN
LSTR
CSX
JBHT
NSC
AMZN
SHOP
NFLX
IBM
VRSN
FFIV
SOHU
EBAY
EXPE
JNPR
AKAM
BIDU
MSFT
INTU
ORCL
ADBE
CRM
CTSH
CHKP
NTAP
CTXS
NUAN
INTC
TXN
ALTR
XLNX
ADI
MCHP
MXIM
KLAC
AMAT
AXP
BAC
MA
C
JPM
WFC
USB
MS
STT
BK
PNC
MTB
FITB
V
GS
DFS
AMTD
SCHW
ETFC
URBN
AEO
ANF
FL
DKS
DLTR
DG
KSS
M
GPS
JWN
CVS
GME
BBBY
BBY
BIG
ROST
TJX
COST
TGT
WMT
LLNW
NKE
PINS
MGM
MCD
CCL
LYV
WKHS
DDOG
KR
WDC
SIX
SNAP
ICE
MAS
AGNC
ERIC
NOK
DELL
PTON
CLDR
AXAS
BIOC
BORR
BOXL
BTE
CDEV
CETX
CHFS
DGLY
DS
FCEL
GCI
CPE
ACST
ADMS
CIDM
FRSX
GNUS
TTOO
PG
ZM
GNW
MNLO
SFIX
UBER
UXIN
IRM
TLT
AAPL
AMD
TSLA
NOW
LITE
BYND
MRNA
NVDA
DOCU
F
GE
DIS
GOOGL
KO
BSX
PENN
PVAC
IDEX
CMLS
HPE
SAVE
WORK
INO
CRON
BABA
SHIP
PEP
PYPL
TMO
TWLO
ACN
NEE
AVGO
AMT
PM
LIN
BILI
NIO
HON
DHR
RTX
QCOM
SBUX
MMM
CHTR
FIS
BLK
SPGI
MO
MDLZ
ANTM
BKNG
PLD
BDX
D
CAT
ZTS
CME
ISRG
ADP
SYK
FISV
CL
REGN
SMH
PFF
ACWI
EMB
VCIT
IEF
SHY
ACOR
SDC
WVE
FTCH
CGC
ITHUF
SNDL
CDW
PBCT
JMIA
DISH
CUBE
ADPT
WU
TEVA
OPGN
MNK
CRWD
IHC
SALT
CRSP
PS
TIGR
HOME
UFPI
NBEV
AVTR
CIM
ZAGG
MBIO
NVAX
ANAB
EQT
GRPN
APRN
PLNT
MIST
TLRY
CLB
SAGE
VXRT
NNBR
SIG
VLRS
MRSN
KLXE
TUP
TSN
VMC
MOS
FNKO
CINF
FGEN
VIR
BNTX
ENLV
IBIO
XNET
OPK
PTE
FLDM
CTIC
INSG
SNES
NOVN
INFN
PSTI
LEVI
GRUB
TMUX
BGNE
OSTK
XP
BMRA
RPRX
BLDR
HLF
PLUG
