COLUMN,0,,
DES,ABMD,STK,SMART/AMEX
DES,ATVI,STK,SMART/AMEX
DES,AAP,STK,SMART/AMEX
DES,AES,STK,SMART/AMEX
DES,A,STK,SMART/AMEX
DES,ALK,STK,SMART/AMEX
DES,ALB,STK,SMART/AMEX
DES,ARE,STK,SMART/AMEX
DES,ALGN,STK,SMART/AMEX
DES,ALLE,STK,SMART/AMEX
DES,LNT,STK,SMART/AMEX
DES,GOOG,STK,SMART/AMEX
DES,AMCR,STK,SMART/AMEX
DES,AEE,STK,SMART/AMEX
DES,AIG,STK,SMART/AMEX
DES,AWK,STK,SMART/AMEX
DES,AMP,STK,SMART/AMEX
DES,ABC,STK,SMART/AMEX
DES,AME,STK,SMART/AMEX
DES,APH,STK,SMART/AMEX
DES,ANSS,STK,SMART/AMEX
DES,AON,STK,SMART/AMEX
DES,AOS,STK,SMART/AMEX
DES,AIV,STK,SMART/AMEX
DES,APTV,STK,SMART/AMEX
DES,ADM,STK,SMART/AMEX
DES,ANET,STK,SMART/AMEX
DES,AJG,STK,SMART/AMEX
DES,AIZ,STK,SMART/AMEX
DES,ATO,STK,SMART/AMEX
DES,ADSK,STK,SMART/AMEX
DES,AZO,STK,SMART/AMEX
DES,AVY,STK,SMART/AMEX
DES,BKR,STK,SMART/AMEX
DES,BLL,STK,SMART/AMEX
DES,BIO,STK,SMART/AMEX
DES,BWA,STK,SMART/AMEX
DES,BR,STK,SMART/AMEX
DES,COG,STK,SMART/AMEX
DES,CDNS,STK,SMART/AMEX
DES,CPB,STK,SMART/AMEX
DES,COF,STK,SMART/AMEX
DES,CAH,STK,SMART/AMEX
DES,KMX,STK,SMART/AMEX
DES,CARR,STK,SMART/AMEX
DES,CBRE,STK,SMART/AMEX
DES,CE,STK,SMART/AMEX
DES,CNC,STK,SMART/AMEX
DES,CERN,STK,SMART/AMEX
DES,CF,STK,SMART/AMEX
DES,CMG,STK,SMART/AMEX
DES,CHD,STK,SMART/AMEX
DES,CTAS,STK,SMART/AMEX
DES,CFG,STK,SMART/AMEX
DES,CLX,STK,SMART/AMEX
DES,CMS,STK,SMART/AMEX
DES,CMCSA,STK,SMART/AMEX
DES,CMA,STK,SMART/AMEX
DES,CAG,STK,SMART/AMEX
DES,CXO,STK,SMART/AMEX
DES,STZ,STK,SMART/AMEX
DES,COO,STK,SMART/AMEX
DES,CPRT,STK,SMART/AMEX
DES,GLW,STK,SMART/AMEX
DES,CTVA,STK,SMART/AMEX
DES,COTY,STK,SMART/AMEX
DES,CMI,STK,SMART/AMEX
DES,DRI,STK,SMART/AMEX
DES,DE,STK,SMART/AMEX
DES,XRAY,STK,SMART/AMEX
DES,DXCM,STK,SMART/AMEX
DES,FANG,STK,SMART/AMEX
DES,DLR,STK,SMART/AMEX
DES,DISCA,STK,SMART/AMEX
DES,DISCK,STK,SMART/AMEX
DES,DPZ,STK,SMART/AMEX
DES,DOV,STK,SMART/AMEX
DES,DTE,STK,SMART/AMEX
DES,DRE,STK,SMART/AMEX
DES,DXC,STK,SMART/AMEX
DES,EMN,STK,SMART/AMEX
DES,ETN,STK,SMART/AMEX
DES,ECL,STK,SMART/AMEX
DES,EW,STK,SMART/AMEX
DES,EA,STK,SMART/AMEX
DES,EFX,STK,SMART/AMEX
DES,EQIX,STK,SMART/AMEX
DES,ESS,STK,SMART/AMEX
DES,EL,STK,SMART/AMEX
DES,EVRG,STK,SMART/AMEX
DES,ES,STK,SMART/AMEX
DES,RE,STK,SMART/AMEX
DES,EXR,STK,SMART/AMEX
DES,FAST,STK,SMART/AMEX
DES,FRT,STK,SMART/AMEX
DES,FRC,STK,SMART/AMEX
DES,FLT,STK,SMART/AMEX
