COLUMN,0,,
DES,FLS,STK,SMART/AMEX
DES,FTNT,STK,SMART/AMEX
DES,FTV,STK,SMART/AMEX
DES,FBHS,STK,SMART/AMEX
DES,FOXA,STK,SMART/AMEX
DES,FOX,STK,SMART/AMEX
DES,BEN,STK,SMART/AMEX
DES,GRMN,STK,SMART/AMEX
DES,IT,STK,SMART/AMEX
DES,GIS,STK,SMART/AMEX
DES,GPC,STK,SMART/AMEX
DES,GPN,STK,SMART/AMEX
DES,GWW,STK,SMART/AMEX
DES,HRB,STK,SMART/AMEX
DES,HBI,STK,SMART/AMEX
DES,HIG,STK,SMART/AMEX
DES,HAS,STK,SMART/AMEX
DES,HCA,STK,SMART/AMEX
DES,PEAK,STK,SMART/AMEX
DES,HSIC,STK,SMART/AMEX
DES,HSY,STK,SMART/AMEX
DES,HLT,STK,SMART/AMEX
DES,HFC,STK,SMART/AMEX
DES,HOLX,STK,SMART/AMEX
DES,HRL,STK,SMART/AMEX
DES,HST,STK,SMART/AMEX
DES,HWM,STK,SMART/AMEX
DES,HPQ,STK,SMART/AMEX
DES,HBAN,STK,SMART/AMEX
DES,HII,STK,SMART/AMEX
DES,IEX,STK,SMART/AMEX
DES,IDXX,STK,SMART/AMEX
DES,INFO,STK,SMART/AMEX
DES,ITW,STK,SMART/AMEX
DES,INCY,STK,SMART/AMEX
DES,IR,STK,SMART/AMEX
DES,IPG,STK,SMART/AMEX
DES,IFF,STK,SMART/AMEX
DES,IVZ,STK,SMART/AMEX
DES,IPGP,STK,SMART/AMEX
DES,IQV,STK,SMART/AMEX
DES,JKHY,STK,SMART/AMEX
DES,J,STK,SMART/AMEX
DES,SJM,STK,SMART/AMEX
DES,JCI,STK,SMART/AMEX
DES,KSU,STK,SMART/AMEX
DES,K,STK,SMART/AMEX
DES,KEY,STK,SMART/AMEX
DES,KEYS,STK,SMART/AMEX
DES,KMB,STK,SMART/AMEX
DES,KIM,STK,SMART/AMEX
DES,KMI,STK,SMART/AMEX
DES,LB,STK,SMART/AMEX
DES,LHX,STK,SMART/AMEX
DES,LH,STK,SMART/AMEX
DES,LRCX,STK,SMART/AMEX
DES,LW,STK,SMART/AMEX
DES,LVS,STK,SMART/AMEX
DES,LDOS,STK,SMART/AMEX
DES,LKQ,STK,SMART/AMEX
DES,L,STK,SMART/AMEX
DES,MPC,STK,SMART/AMEX
DES,MKTX,STK,SMART/AMEX
DES,MAR,STK,SMART/AMEX
DES,MMC,STK,SMART/AMEX
DES,MLM,STK,SMART/AMEX
DES,MKC,STK,SMART/AMEX
DES,MCK,STK,SMART/AMEX
DES,MTD,STK,SMART/AMEX
DES,MU,STK,SMART/AMEX
DES,MSFT,STK,SMART/AMEX
DES,MAA,STK,SMART/AMEX
DES,TAP,STK,SMART/AMEX
DES,MNST,STK,SMART/AMEX
DES,MSI,STK,SMART/AMEX
DES,MSCI,STK,SMART/AMEX
DES,MYL,STK,SMART/AMEX
DES,NDAQ,STK,SMART/AMEX
DES,NWL,STK,SMART/AMEX
DES,NWSA,STK,SMART/AMEX
DES,NWS,STK,SMART/AMEX
DES,NLSN,STK,SMART/AMEX
DES,NI,STK,SMART/AMEX
DES,NTRS,STK,SMART/AMEX
DES,NLOK,STK,SMART/AMEX
DES,NCLH,STK,SMART/AMEX
DES,NRG,STK,SMART/AMEX
DES,NVR,STK,SMART/AMEX
DES,ORLY,STK,SMART/AMEX
DES,ODFL,STK,SMART/AMEX
DES,OMC,STK,SMART/AMEX
DES,OKE,STK,SMART/AMEX
DES,OTIS,STK,SMART/AMEX
DES,PCAR,STK,SMART/AMEX
DES,PKG,STK,SMART/AMEX
DES,PH,STK,SMART/AMEX
DES,PAYX,STK,SMART/AMEX
DES,PAYC,STK,SMART/AMEX
DES,PNR,STK,SMART/AMEX
DES,PKI,STK,SMART/AMEX
DES,PRGO,STK,SMART/AMEX
DES,PSX,STK,SMART/AMEX
DES,PNW,STK,SMART/AMEX
DES,PXD,STK,SMART/AMEX
DES,PRU,STK,SMART/AMEX
DES,PVH,STK,SMART/AMEX
DES,QRVO,STK,SMART/AMEX
DES,PWR,STK,SMART/AMEX
DES,RL,STK,SMART/AMEX
DES,RJF,STK,SMART/AMEX
DES,O,STK,SMART/AMEX
DES,REG,STK,SMART/AMEX
DES,RF,STK,SMART/AMEX
DES,RSG,STK,SMART/AMEX
DES,RMD,STK,SMART/AMEX
DES,RHI,STK,SMART/AMEX
DES,ROK,STK,SMART/AMEX
DES,ROL,STK,SMART/AMEX
DES,ROP,STK,SMART/AMEX
DES,RCL,STK,SMART/AMEX
DES,STX,STK,SMART/AMEX
DES,SEE,STK,SMART/AMEX
DES,SRE,STK,SMART/AMEX
DES,SWKS,STK,SMART/AMEX
DES,SNA,STK,SMART/AMEX
DES,SWK,STK,SMART/AMEX
DES,STE,STK,SMART/AMEX
DES,SIVB,STK,SMART/AMEX
DES,SNPS,STK,SMART/AMEX
DES,SYY,STK,SMART/AMEX
DES,TROW,STK,SMART/AMEX
DES,TTWO,STK,SMART/AMEX
DES,TPR,STK,SMART/AMEX
DES,TEL,STK,SMART/AMEX
DES,FTI,STK,SMART/AMEX
DES,TDY,STK,SMART/AMEX
DES,TFX,STK,SMART/AMEX
DES,TXT,STK,SMART/AMEX
DES,TIF,STK,SMART/AMEX
DES,TSCO,STK,SMART/AMEX
DES,TT,STK,SMART/AMEX
