COLUMN,0,,
DES,TDG,STK,SMART/AMEX
DES,TFC,STK,SMART/AMEX
DES,TYL,STK,SMART/AMEX
DES,UDR,STK,SMART/AMEX
DES,ULTA,STK,SMART/AMEX
DES,UAA,STK,SMART/AMEX
DES,UA,STK,SMART/AMEX
DES,URI,STK,SMART/AMEX
DES,UHS,STK,SMART/AMEX
DES,VFC,STK,SMART/AMEX
DES,VAR,STK,SMART/AMEX
DES,VRSK,STK,SMART/AMEX
DES,WAB,STK,SMART/AMEX
DES,WBA,STK,SMART/AMEX
DES,WM,STK,SMART/AMEX
DES,WAT,STK,SMART/AMEX
DES,WEC,STK,SMART/AMEX
DES,WELL,STK,SMART/AMEX
DES,WST,STK,SMART/AMEX
DES,WRK,STK,SMART/AMEX
DES,WHR,STK,SMART/AMEX
DES,WLTW,STK,SMART/AMEX
DES,WYNN,STK,SMART/AMEX
DES,XRX,STK,SMART/AMEX
DES,XYL,STK,SMART/AMEX
DES,YUM,STK,SMART/AMEX
DES,ZBRA,STK,SMART/AMEX
DES,ZBH,STK,SMART/AMEX
DES,ZION,STK,SMART/AMEX
