,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
COGT,DU2321894,1833,,71,1.79769313486232E+308,STP,SELL,11.16,0,11.16,,1.79769313486232E+308,False,GTC,,
COGT,DU2321894,1831,,71,1.79769313486232E+308,STP LMT,BUY,13.9,14.18,13.9,,1.79769313486232E+308,False,GTC,,
GCI,DU2321894,1830,,326,1.79769313486232E+308,STP,SELL,2.32,0,2.32,,1.79769313486232E+308,False,GTC,,
GCI,DU2321894,1829,,326,1.79769313486232E+308,LMT,SELL,0,5.45,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
GCI,DU2321894,1828,,326,1.79769313486232E+308,STP LMT,BUY,3.06,3.12,3.06,,1.79769313486232E+308,False,GTC,,
BOXL,DU2321894,1811,,549,1.79769313486232E+308,LMT,SELL,0,2.45,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
BOXL,DU2321894,1810,,549,1.79769313486232E+308,STP LMT,BUY,1.82,1.86,1.82,,1.79769313486232E+308,False,GTC,,
PBYI,DU2321894,1809,,81,1.79769313486232E+308,STP,SELL,10.86,0,10.86,,1.79769313486232E+308,False,GTC,,
PBYI,DU2321894,1808,,81,1.79769313486232E+308,LMT,SELL,0,17.95,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
PBYI,DU2321894,1807,,81,1.79769313486232E+308,STP LMT,BUY,12.22,12.46,12.22,,1.79769313486232E+308,False,GTC,,
CKPT,DU2321894,1806,,337,1.79769313486232E+308,STP,SELL,2.54,0,2.54,,1.79769313486232E+308,False,GTC,,
CKPT,DU2321894,1805,,337,1.79769313486232E+308,LMT,SELL,0,3.79,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
CKPT,DU2321894,1804,,337,1.79769313486232E+308,STP LMT,BUY,2.96,3.02,2.96,,1.79769313486232E+308,False,GTC,,
WWR,DU2321894,1819,,155,1.79769313486232E+308,STP LMT,BUY,6.42,6.55,6.42,,1.79769313486232E+308,False,GTC,,
GNLN,DU2321894,1818,,210,1.79769313486232E+308,STP,SELL,3.91,0,3.91,,1.79769313486232E+308,False,GTC,,
GNLN,DU2321894,1817,,210,1.79769313486232E+308,LMT,SELL,0,6.97,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
GNLN,DU2321894,1816,,210,1.79769313486232E+308,STP LMT,BUY,4.76,4.86,4.76,,1.79769313486232E+308,False,GTC,,
MYO,DU2321894,1815,,127,1.79769313486232E+308,STP,SELL,6.7,0,6.7,,1.79769313486232E+308,False,GTC,,
MYO,DU2321894,1814,,127,1.79769313486232E+308,LMT,SELL,0,12.05,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
MYO,DU2321894,1813,,127,1.79769313486232E+308,STP LMT,BUY,7.86,8.02,7.86,,1.79769313486232E+308,False,GTC,,
BOXL,DU2321894,1812,,549,1.79769313486232E+308,STP,SELL,1.59,0,1.59,,1.79769313486232E+308,False,GTC,,
NCTY,DU2321894,1803,,250,1.79769313486232E+308,STP,SELL,2.75,0,2.75,,1.79769313486232E+308,False,GTC,,
