,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,RTH,TIF,,
SBH,DU3053535,2991,,74,1.79769313486232E+308,TRAIL,SELL,1.12,0,12.23,,False,GTC,,
SBH,DU3053535,2990,,74,1.79769313486232E+308,LMT,SELL,0,16.16,17.16,,True,GTC,,
RVI,DU3053535,3005,,65,1.79769313486232E+308,LMT,SELL,0,18.63,19.63,,True,GTC,,
RVI,DU3053535,3004,,65,1.79769313486232E+308,LMT,BUY,0,15.61,16.61,,True,GTC,,,20201228 09:30:00 EST, 322300722≥+15.31, 322300722≥+34473,margin ≥+20
RWT,DU3053535,3003,,106,1.79769313486232E+308,TRAIL,SELL,0.62,0,8.79,,False,GTC,,
RWT,DU3053535,3002,,106,1.79769313486232E+308,LMT,SELL,0,10.96,11.96,,True,GTC,,
RWT,DU3053535,3001,,106,1.79769313486232E+308,LMT,BUY,0,9.6,10.6,,True,GTC,,,20201228 09:30:00 EST, 6478023≥+9.41, 6478023≥+889418,margin ≥+20
RXT,DU3053535,3000,,45,1.79769313486232E+308,TRAIL,SELL,1.91,0,20.13,,False,GTC,,
RXT,DU3053535,2999,,45,1.79769313486232E+308,LMT,SELL,0,26.83,27.83,,True,GTC,,
RXT,DU3053535,2998,,45,1.79769313486232E+308,LMT,BUY,0,22.48,23.48,,True,GTC,,,20201228 09:30:00 EST, 438220546≥+22.04, 438220546≥+214455,margin ≥+20
PRMW,DU3053535,3077,,59,1.79769313486232E+308,LMT,SELL,0,18.75,19.75,,True,GTC,,
PRMW,DU3053535,3076,,59,1.79769313486232E+308,LMT,BUY,0,17.08,18.08,,True,GTC,,,20201228 09:30:00 EST, 407149876≥+16.75, 407149876≥+202473,margin ≥+20
PSEC,DU3053535,3075,,174,1.79769313486232E+308,TRAIL,SELL,0.21,0,5.51,,False,GTC,,
PSEC,DU3053535,3074,,174,1.79769313486232E+308,LMT,SELL,0,6.24,7.24,,True,GTC,,
PSEC,DU3053535,3073,,174,1.79769313486232E+308,LMT,BUY,0,5.83,6.83,,True,GTC,,,20201228 09:30:00 EST, 30188658≥+5.71, 30188658≥+241127,margin ≥+20
PSO,DU3053535,3072,,105,1.79769313486232E+308,TRAIL,SELL,0.46,0,8.97,,False,GTC,,
PSO,DU3053535,3071,,105,1.79769313486232E+308,LMT,SELL,0,10.59,11.59,,True,GTC,,
PSO,DU3053535,3070,,105,1.79769313486232E+308,LMT,BUY,0,9.62,10.62,,True,GTC,,,20201228 09:30:00 EST, 756247≥+9.43, 756247≥+25873,margin ≥+20
PPC,DU3053535,3085,,47,1.79769313486232E+308,LMT,BUY,0,21.57,22.57,,True,GTC,,,20201228 09:30:00 EST, 71395583≥+21.14, 71395583≥+241618,margin ≥+20
PRA,DU3053535,3084,,50,1.79769313486232E+308,TRAIL,SELL,1.51,0,18.14,,False,GTC,,
PRA,DU3053535,3083,,50,1.79769313486232E+308,LMT,SELL,0,23.41,24.41,,True,GTC,,
PRA,DU3053535,3082,,50,1.79769313486232E+308,LMT,BUY,0,20.04,21.04,,True,GTC,,,20201228 09:30:00 EST, 2585343≥+19.64, 2585343≥+207018,margin ≥+20
PRDO,DU3053535,3081,,72,1.79769313486232E+308,TRAIL,SELL,0.98,0,12.73,,False,GTC,,
PRDO,DU3053535,3080,,72,1.79769313486232E+308,LMT,SELL,0,16.15,17.15,,True,GTC,,
PRDO,DU3053535,3079,,72,1.79769313486232E+308,LMT,BUY,0,13.98,14.98,,True,GTC,,,20201228 09:30:00 EST, 397813613≥+13.7, 397813613≥+230291,margin ≥+20
PRMW,DU3053535,3078,,59,1.79769313486232E+308,TRAIL,SELL,0.8,0,15.94,,False,GTC,,
PMT,DU3053535,3093,,53,1.79769313486232E+308,TRAIL,SELL,1.01,0,17.82,,False,GTC,,
PMT,DU3053535,3092,,53,1.79769313486232E+308,LMT,SELL,0,21.37,22.37,,True,GTC,,
PMT,DU3053535,3091,,53,1.79769313486232E+308,LMT,BUY,0,19.21,20.21,,True,GTC,,,20201228 09:30:00 EST, 64759614≥+18.84, 64759614≥+659927,margin ≥+20
PNNT,DU3053535,3090,,205,1.79769313486232E+308,TRAIL,SELL,0.35,0,4.52,,False,GTC,,
PNNT,DU3053535,3089,,205,1.79769313486232E+308,LMT,SELL,0,5.73,6.73,,True,GTC,,
PNNT,DU3053535,3088,,205,1.79769313486232E+308,LMT,BUY,0,4.96,5.96,,True,GTC,,,20201228 09:30:00 EST, 43708737≥+4.87, 43708737≥+413945,margin ≥+20
PPC,DU3053535,3087,,47,1.79769313486232E+308,TRAIL,SELL,1.23,0,19.91,,False,GTC,,
PPC,DU3053535,3086,,47,1.79769313486232E+308,LMT,SELL,0,24.22,25.22,,True,GTC,,
PGRE,DU3053535,3101,,101,1.79769313486232E+308,LMT,SELL,0,11.68,12.68,,True,GTC,,
PGRE,DU3053535,3100,,101,1.79769313486232E+308,LMT,BUY,0,10.06,11.06,,True,GTC,,,20201228 09:30:00 EST, 173803851≥+9.87, 173803851≥+949127,margin ≥+20
PLAB,DU3053535,3099,,81,1.79769313486232E+308,TRAIL,SELL,1.09,0,11.18,,False,GTC,,
PLAB,DU3053535,3098,,81,1.79769313486232E+308,LMT,SELL,0,15.01,16.01,,True,GTC,,
PLAB,DU3053535,3097,,81,1.79769313486232E+308,LMT,BUY,0,12.52,13.52,,True,GTC,,,20201228 09:30:00 EST, 273165≥+12.27, 273165≥+300364,margin ≥+20
PLYM,DU3053535,3096,,65,1.79769313486232E+308,TRAIL,SELL,1.13,0,14.2,,False,GTC,,
PLYM,DU3053535,3095,,65,1.79769313486232E+308,LMT,SELL,0,18.15,19.15,,True,GTC,,
PLYM,DU3053535,3094,,65,1.79769313486232E+308,LMT,BUY,0,15.63,16.63,,True,GTC,,,20201228 09:30:00 EST, 278545614≥+15.33, 278545614≥+306527,margin ≥+20
RDN,DU3053535,3045,,46,1.79769313486232E+308,TRAIL,SELL,1.26,0,20.12,,False,GTC,,
RDN,DU3053535,3044,,46,1.79769313486232E+308,LMT,SELL,0,24.51,25.51,,True,GTC,,
RDN,DU3053535,3043,,46,1.79769313486232E+308,LMT,BUY,0,21.8,22.8,,True,GTC,,,20201228 09:30:00 EST, 6478015≥+21.37, 6478015≥+489945,margin ≥+20
RDNT,DU3053535,3042,,49,1.79769313486232E+308,TRAIL,SELL,1.6,0,18.59,,False,GTC,,
RDNT,DU3053535,3041,,49,1.79769313486232E+308,LMT,SELL,0,24.2,25.2,,True,GTC,,
RDNT,DU3053535,3040,,49,1.79769313486232E+308,LMT,BUY,0,20.59,21.59,,True,GTC,,,20201228 09:30:00 EST, 41888859≥+20.19, 41888859≥+173109,margin ≥+20
RESI,DU3053535,3039,,60,1.79769313486232E+308,TRAIL,SELL,0.25,0,16.15,,False,GTC,,
RESI,DU3053535,3038,,60,1.79769313486232E+308,LMT,SELL,0,17.02,18.02,,True,GTC,,
RBAC,DU3053535,3053,,85,1.79769313486232E+308,LMT,SELL,0,13.62,14.62,,True,GTC,,
RBAC,DU3053535,3052,,85,1.79769313486232E+308,LMT,BUY,0,11.94,12.94,,True,GTC,,,20201228 09:30:00 EST, 447955224≥+11.71, 447955224≥+45909,margin ≥+20
RC,DU3053535,3051,,74,1.79769313486232E+308,TRAIL,SELL,1.1,0,12.36,,False,GTC,,
RC,DU3053535,3050,,74,1.79769313486232E+308,LMT,SELL,0,16.23,17.23,,True,GTC,,
RC,DU3053535,3049,,74,1.79769313486232E+308,LMT,BUY,0,13.74,14.74,,True,GTC,,,20201228 09:30:00 EST, 335049701≥+13.47, 335049701≥+143491,margin ≥+20
RCEL,DU3053535,3048,,48,1.79769313486232E+308,TRAIL,SELL,1.89,0,18.73,,False,GTC,,
RCEL,DU3053535,3047,,48,1.79769313486232E+308,LMT,SELL,0,25.35,26.35,,True,GTC,,
RCEL,DU3053535,3046,,48,1.79769313486232E+308,LMT,BUY,0,21.03,22.03,,True,GTC,,,20201228 09:30:00 EST, 430625907≥+20.62, 430625907≥+74891,margin ≥+20
QRTEA,DU3053535,3061,,85,1.79769313486232E+308,LMT,BUY,0,11.89,12.89,,True,GTC,,,20201228 09:30:00 EST, 313673851≥+11.66, 313673851≥+1238727,margin ≥+20
QUOT,DU3053535,3060,,101,1.79769313486232E+308,TRAIL,SELL,0.64,0,9.23,,False,GTC,,
QUOT,DU3053535,3059,,101,1.79769313486232E+308,LMT,SELL,0,11.46,12.46,,True,GTC,,
QUOT,DU3053535,3058,,101,1.79769313486232E+308,LMT,BUY,0,10.06,11.06,,True,GTC,,,20201228 09:30:00 EST, 209048238≥+9.87, 209048238≥+171364,margin ≥+20
RA,DU3053535,3057,,54,1.79769313486232E+308,TRAIL,SELL,0.45,0,17.91,,False,GTC,,
RA,DU3053535,3056,,54,1.79769313486232E+308,LMT,SELL,0,19.48,20.48,,True,GTC,,
RA,DU3053535,3055,,54,1.79769313486232E+308,LMT,BUY,0,18.73,19.73,,True,GTC,,,20201228 09:30:00 EST, 257298774≥+18.36, 257298774≥+20218,margin ≥+20
RBAC,DU3053535,3054,,85,1.79769313486232E+308,TRAIL,SELL,0.76,0,10.94,,False,GTC,,
PVG,DU3053535,3069,,80,1.79769313486232E+308,TRAIL,SELL,1,0,11.36,,False,GTC,,
PVG,DU3053535,3068,,80,1.79769313486232E+308,LMT,SELL,0,14.86,15.86,,True,GTC,,
PVG,DU3053535,3067,,80,1.79769313486232E+308,LMT,BUY,0,12.61,13.61,,True,GTC,,,20201228 09:30:00 EST, 100250917≥+12.36, 100250917≥+190473,margin ≥+20
PWFL,DU3053535,3066,,127,1.79769313486232E+308,TRAIL,SELL,0.75,0,7.11,,False,GTC,,
PWFL,DU3053535,3065,,127,1.79769313486232E+308,LMT,SELL,0,9.72,10.72,,True,GTC,,
PWFL,DU3053535,3064,,127,1.79769313486232E+308,LMT,BUY,0,8.01,9.01,,True,GTC,,,20201228 09:30:00 EST, 385818294≥+7.86, 385818294≥+30909,margin ≥+20
QRTEA,DU3053535,3063,,85,1.79769313486232E+308,TRAIL,SELL,1.09,0,10.57,,False,GTC,,
QRTEA,DU3053535,3062,,85,1.79769313486232E+308,LMT,SELL,0,14.38,15.38,,True,GTC,,
CFB,DU3053535,3909,,89,1.79769313486232E+308,TRAIL,SELL,0.87,0,10.32,,False,GTC,,
CFB,DU3053535,3908,,89,1.79769313486232E+308,LMT,SELL,0,13.38,14.38,,True,GTC,,
CFB,DU3053535,3907,,89,1.79769313486232E+308,LMT,BUY,0,11.42,12.42,,True,GTC,,,20201228 09:30:00 EST, 379034087≥+11.19, 379034087≥+46327,margin ≥+20
CFFN,DU3053535,3906,,77,1.79769313486232E+308,TRAIL,SELL,0.58,0,12.26,,False,GTC,,
CFFN,DU3053535,3905,,77,1.79769313486232E+308,LMT,SELL,0,14.3,15.3,,True,GTC,,
CFFN,DU3053535,3904,,77,1.79769313486232E+308,LMT,BUY,0,13.1,14.1,,True,GTC,,,20201228 09:30:00 EST, 82340077≥+12.84, 82340077≥+516509,margin ≥+20
CFII,DU3053535,3903,,82,1.79769313486232E+308,TRAIL,SELL,1.18,0,11,,False,GTC,,
CFII,DU3053535,3902,,82,1.79769313486232E+308,LMT,SELL,0,15.14,16.14,,True,GTC,,
CDR,DU3053535,3917,,95,1.79769313486232E+308,LMT,SELL,0,12.87,13.87,,True,GTC,,
CDR,DU3053535,3916,,95,1.79769313486232E+308,LMT,BUY,0,10.7,11.7,,True,GTC,,,20201228 09:30:00 EST, 455759817≥+10.49, 455759817≥+34545,margin ≥+20
CDZI,DU3053535,3915,,91,1.79769313486232E+308,TRAIL,SELL,0.82,0,10.14,,False,GTC,,
CDZI,DU3053535,3914,,91,1.79769313486232E+308,LMT,SELL,0,13.01,14.01,,True,GTC,,
CDZI,DU3053535,3913,,91,1.79769313486232E+308,LMT,BUY,0,11.18,12.18,,True,GTC,,,20201228 09:30:00 EST, 4728102≥+10.96, 4728102≥+86200,margin ≥+20
CEQP,DU3053535,3912,,45,1.79769313486232E+308,TRAIL,SELL,1.97,0,19.91,,False,GTC,,
CEQP,DU3053535,3911,,45,1.79769313486232E+308,LMT,SELL,0,26.79,27.79,,True,GTC,,
CEQP,DU3053535,3910,,45,1.79769313486232E+308,LMT,BUY,0,22.31,23.31,,True,GTC,,,20201228 09:30:00 EST, 212921422≥+21.87, 212921422≥+37418,margin ≥+20
CCAC,DU3053535,3925,,87,1.79769313486232E+308,LMT,BUY,0,11.66,12.66,,True,GTC,,,20201228 09:30:00 EST, 414273851≥+11.43, 414273851≥+37418,margin ≥+20
CCIV,DU3053535,3924,,95,1.79769313486232E+308,TRAIL,SELL,0.4,0,10.03,,False,GTC,,
CCIV,DU3053535,3923,,95,1.79769313486232E+308,LMT,SELL,0,11.42,12.42,,True,GTC,,
CCIV,DU3053535,3922,,95,1.79769313486232E+308,LMT,BUY,0,10.63,11.63,,True,GTC,,,20201228 09:30:00 EST, 445423538≥+10.43, 445423538≥+306018,margin ≥+20
CCX,DU3053535,3921,,94,1.79769313486232E+308,TRAIL,SELL,0.35,0,10.28,,False,GTC,,
CCX,DU3053535,3920,,94,1.79769313486232E+308,LMT,SELL,0,11.51,12.51,,True,GTC,,
CCX,DU3053535,3919,,94,1.79769313486232E+308,LMT,BUY,0,10.85,11.85,,True,GTC,,,20201228 09:30:00 EST, 375796340≥+10.63, 375796340≥+46673,margin ≥+20
CDR,DU3053535,3918,,95,1.79769313486232E+308,TRAIL,SELL,0.95,0,9.53,,False,GTC,,
CBB,DU3053535,3933,,64,1.79769313486232E+308,TRAIL,SELL,0.15,0,15.26,,False,GTC,,
CBB,DU3053535,3932,,64,1.79769313486232E+308,LMT,SELL,0,15.8,16.8,,True,GTC,,
CBB,DU3053535,3931,,64,1.79769313486232E+308,LMT,BUY,0,15.72,16.72,,True,GTC,,,20201228 09:30:00 EST, 249167943≥+15.42, 249167943≥+474636,margin ≥+20
CBD,DU3053535,3930,,66,1.79769313486232E+308,TRAIL,SELL,0.85,0,14.24,,False,GTC,,
CBD,DU3053535,3929,,66,1.79769313486232E+308,LMT,SELL,0,17.23,18.23,,True,GTC,,
CBD,DU3053535,3928,,66,1.79769313486232E+308,LMT,BUY,0,15.4,16.4,,True,GTC,,,20201228 09:30:00 EST, 405511539≥+15.1, 405511539≥+29436,margin ≥+20
CCAC,DU3053535,3927,,87,1.79769313486232E+308,TRAIL,SELL,0.92,0,10.51,,False,GTC,,
CCAC,DU3053535,3926,,87,1.79769313486232E+308,LMT,SELL,0,13.74,14.74,,True,GTC,,
CIO,DU3053535,3877,,97,1.79769313486232E+308,LMT,BUY,0,10.46,11.46,,True,GTC,,,20201228 09:30:00 EST, 148163100≥+10.26, 148163100≥+147855,margin ≥+20
CLAR,DU3053535,3876,,60,1.79769313486232E+308,TRAIL,SELL,1.14,0,15.33,,False,GTC,,
CLAR,DU3053535,3875,,60,1.79769313486232E+308,LMT,SELL,0,19.31,20.31,,True,GTC,,
CLAR,DU3053535,3874,,60,1.79769313486232E+308,LMT,BUY,0,16.8,17.8,,True,GTC,,,20201228 09:30:00 EST, 285675114≥+16.47, 285675114≥+77945,margin ≥+20
CLBK,DU3053535,3873,,62,1.79769313486232E+308,TRAIL,SELL,0.69,0,15.2,,False,GTC,,
CLBK,DU3053535,3872,,62,1.79769313486232E+308,LMT,SELL,0,17.63,18.63,,True,GTC,,
CLBK,DU3053535,3871,,62,1.79769313486232E+308,LMT,BUY,0,16.21,17.21,,True,GTC,,,20201228 09:30:00 EST, 314734931≥+15.89, 314734931≥+102618,margin ≥+20
CLDT,DU3053535,3870,,79,1.79769313486232E+308,TRAIL,SELL,1.06,0,11.49,,False,GTC,,
CIG,DU3053535,3885,,333,1.79769313486232E+308,TRAIL,SELL,0.24,0,2.76,,False,GTC,,
CIG,DU3053535,3884,,333,1.79769313486232E+308,LMT,SELL,0,3.61,4.61,,True,GTC,,
CIG,DU3053535,3883,,333,1.79769313486232E+308,LMT,BUY,0,3.06,4.06,,True,GTC,,,20201228 09:30:00 EST, 2006842≥+3, 2006842≥+1267291,margin ≥+20
CIM,DU3053535,3882,,88,1.79769313486232E+308,TRAIL,SELL,0.69,0,10.61,,False,GTC,,
CIM,DU3053535,3881,,88,1.79769313486232E+308,LMT,SELL,0,13.01,14.01,,True,GTC,,
CIM,DU3053535,3880,,88,1.79769313486232E+308,LMT,BUY,0,11.52,12.52,,True,GTC,,,20201228 09:30:00 EST, 187296614≥+11.3, 187296614≥+669400,margin ≥+20
CIO,DU3053535,3879,,97,1.79769313486232E+308,TRAIL,SELL,0.69,0,9.57,,False,GTC,,
CIO,DU3053535,3878,,97,1.79769313486232E+308,LMT,SELL,0,11.97,12.97,,True,GTC,,
CHNG,DU3053535,3893,,50,1.79769313486232E+308,LMT,SELL,0,23.01,24.01,,True,GTC,,
CHNG,DU3053535,3892,,50,1.79769313486232E+308,LMT,BUY,0,20.14,21.14,,True,GTC,,,20201228 09:30:00 EST, 372849726≥+19.74, 372849726≥+819600,margin ≥+20
CHRS,DU3053535,3891,,52,1.79769313486232E+308,TRAIL,SELL,1.38,0,17.56,,False,GTC,,
CHRS,DU3053535,3890,,52,1.79769313486232E+308,LMT,SELL,0,22.4,23.4,,True,GTC,,
CHRS,DU3053535,3889,,52,1.79769313486232E+308,LMT,BUY,0,19.32,20.32,,True,GTC,,,20201228 09:30:00 EST, 172938783≥+18.94, 172938783≥+396345,margin ≥+20
CHU,DU3053535,3888,,168,1.79769313486232E+308,TRAIL,SELL,0.28,0,5.66,,False,GTC,,
CHU,DU3053535,3887,,168,1.79769313486232E+308,LMT,SELL,0,6.65,7.65,,True,GTC,,
CHU,DU3053535,3886,,168,1.79769313486232E+308,LMT,BUY,0,6.06,7.06,,True,GTC,,,20201228 09:30:00 EST, 9541641≥+5.94, 9541641≥+31182,margin ≥+20
CFII,DU3053535,3901,,82,1.79769313486232E+308,LMT,BUY,0,12.42,13.42,,True,GTC,,,20201228 09:30:00 EST, 450042704≥+12.18, 450042704≥+195382,margin ≥+20
CGBD,DU3053535,3900,,86,1.79769313486232E+308,TRAIL,SELL,0.61,0,10.99,,False,GTC,,
CGBD,DU3053535,3899,,86,1.79769313486232E+308,LMT,SELL,0,13.14,14.14,,True,GTC,,
CGBD,DU3053535,3898,,86,1.79769313486232E+308,LMT,BUY,0,11.84,12.84,,True,GTC,,,20201228 09:30:00 EST, 279166957≥+11.61, 279166957≥+99909,margin ≥+20
CHMI,DU3053535,3897,,99,1.79769313486232E+308,TRAIL,SELL,0.57,0,9.52,,False,GTC,,
CHMI,DU3053535,3896,,99,1.79769313486232E+308,LMT,SELL,0,11.52,12.52,,True,GTC,,
CHMI,DU3053535,3895,,99,1.79769313486232E+308,LMT,BUY,0,10.29,11.29,,True,GTC,,,20201228 09:30:00 EST, 135748067≥+10.09, 135748067≥+33400,margin ≥+20
CHNG,DU3053535,3894,,50,1.79769313486232E+308,TRAIL,SELL,1.31,0,18.44,,False,GTC,,
BRFS,DU3053535,3973,,212,1.79769313486232E+308,LMT,BUY,0,4.8,5.8,,True,GTC,,,20201228 09:30:00 EST, 61596951≥+4.71, 61596951≥+130000,margin ≥+20
BRKL,DU3053535,3972,,78,1.79769313486232E+308,TRAIL,SELL,0.88,0,11.81,,False,GTC,,
BRKL,DU3053535,3971,,78,1.79769313486232E+308,LMT,SELL,0,14.9,15.9,,True,GTC,,
BRKL,DU3053535,3970,,78,1.79769313486232E+308,LMT,BUY,0,12.95,13.95,,True,GTC,,,20201228 09:30:00 EST, 4727407≥+12.69, 4727407≥+373273,margin ≥+20
BRMK,DU3053535,3969,,93,1.79769313486232E+308,TRAIL,SELL,0.4,0,10.33,,False,GTC,,
BRMK,DU3053535,3968,,93,1.79769313486232E+308,LMT,SELL,0,11.74,12.74,,True,GTC,,
BRMK,DU3053535,3967,,93,1.79769313486232E+308,LMT,BUY,0,10.95,11.95,,True,GTC,,,20201228 09:30:00 EST, 391418397≥+10.73, 391418397≥+202273,margin ≥+20
BRX,DU3053535,3966,,57,1.79769313486232E+308,TRAIL,SELL,1.19,0,16.23,,False,GTC,,
BPY,DU3053535,3981,,61,1.79769313486232E+308,TRAIL,SELL,1.09,0,15.28,,False,GTC,,
BPY,DU3053535,3980,,61,1.79769313486232E+308,LMT,SELL,0,19.09,20.09,,True,GTC,,
BPY,DU3053535,3979,,61,1.79769313486232E+308,LMT,BUY,0,16.69,17.69,,True,GTC,,,20201228 09:30:00 EST, 124725612≥+16.37, 124725612≥+171127,margin ≥+20
BPYU,DU3053535,3978,,59,1.79769313486232E+308,TRAIL,SELL,1.21,0,15.6,,False,GTC,,
BPYU,DU3053535,3977,,59,1.79769313486232E+308,LMT,SELL,0,19.85,20.85,,True,GTC,,
BPYU,DU3053535,3976,,59,1.79769313486232E+308,LMT,BUY,0,17.15,18.15,,True,GTC,,,20201228 09:30:00 EST, 331454538≥+16.81, 331454538≥+325036,margin ≥+20
BRFS,DU3053535,3975,,212,1.79769313486232E+308,TRAIL,SELL,0.36,0,4.34,,False,GTC,,
BRFS,DU3053535,3974,,212,1.79769313486232E+308,LMT,SELL,0,5.62,6.62,,True,GTC,,
BOX,DU3053535,3989,,49,1.79769313486232E+308,LMT,SELL,0,24.4,25.4,,True,GTC,,
BOX,DU3053535,3988,,49,1.79769313486232E+308,LMT,BUY,0,20.77,21.77,,True,GTC,,,20201228 09:30:00 EST, 181158987≥+20.37, 181158987≥+662236,margin ≥+20
BPFH,DU3053535,3987,,117,1.79769313486232E+308,TRAIL,SELL,0.51,0,8.02,,False,GTC,,
BPFH,DU3053535,3986,,117,1.79769313486232E+308,LMT,SELL,0,9.8,10.8,,True,GTC,,
BPFH,DU3053535,3985,,117,1.79769313486232E+308,LMT,BUY,0,8.7,9.7,,True,GTC,,,20201228 09:30:00 EST, 4727359≥+8.53, 4727359≥+459436,margin ≥+20
BPMP,DU3053535,3984,,86,1.79769313486232E+308,TRAIL,SELL,0.75,0,10.77,,False,GTC,,
BPMP,DU3053535,3983,,86,1.79769313486232E+308,LMT,SELL,0,13.39,14.39,,True,GTC,,
BPMP,DU3053535,3982,,86,1.79769313486232E+308,LMT,BUY,0,11.75,12.75,,True,GTC,,,20201228 09:30:00 EST, 293692432≥+11.52, 293692432≥+37418,margin ≥+20
BLMN,DU3053535,3997,,50,1.79769313486232E+308,LMT,BUY,0,20.39,21.39,,True,GTC,,,20201228 09:30:00 EST, 111837984≥+19.99, 111837984≥+471727,margin ≥+20
BNFT,DU3053535,3996,,66,1.79769313486232E+308,TRAIL,SELL,1.28,0,13.84,,False,GTC,,
BNFT,DU3053535,3995,,66,1.79769313486232E+308,LMT,SELL,0,18.32,19.32,,True,GTC,,
BNFT,DU3053535,3994,,66,1.79769313486232E+308,LMT,BUY,0,15.42,16.42,,True,GTC,,,20201228 09:30:00 EST, 134581271≥+15.12, 134581271≥+62564,margin ≥+20
BNL,DU3053535,3993,,49,1.79769313486232E+308,TRAIL,SELL,1.02,0,19.31,,False,GTC,,
BNL,DU3053535,3992,,49,1.79769313486232E+308,LMT,SELL,0,22.88,23.88,,True,GTC,,
BNL,DU3053535,3991,,49,1.79769313486232E+308,LMT,BUY,0,20.74,21.74,,True,GTC,,,20201228 09:30:00 EST, 445194068≥+20.33, 445194068≥+974091,margin ≥+20
BOX,DU3053535,3990,,49,1.79769313486232E+308,TRAIL,SELL,1.61,0,18.75,,False,GTC,,
CADE,DU3053535,3941,,60,1.79769313486232E+308,LMT,SELL,0,19.55,20.55,,True,GTC,,
CADE,DU3053535,3940,,60,1.79769313486232E+308,LMT,BUY,0,16.95,17.95,,True,GTC,,,20201228 09:30:00 EST, 272562038≥+16.62, 272562038≥+520800,margin ≥+20
CAJ,DU3053535,3939,,48,1.79769313486232E+308,TRAIL,SELL,0.71,0,19.79,,False,GTC,,
CAJ,DU3053535,3938,,48,1.79769313486232E+308,LMT,SELL,0,22.27,23.27,,True,GTC,,
CAJ,DU3053535,3937,,48,1.79769313486232E+308,LMT,BUY,0,20.91,21.91,,True,GTC,,,20201228 09:30:00 EST, 12340038≥+20.5, 12340038≥+83073,margin ≥+20
CARA,DU3053535,3936,,61,1.79769313486232E+308,TRAIL,SELL,1.17,0,15.1,,False,GTC,,
CARA,DU3053535,3935,,61,1.79769313486232E+308,LMT,SELL,0,19.18,20.18,,True,GTC,,
CARA,DU3053535,3934,,61,1.79769313486232E+308,LMT,BUY,0,16.59,17.59,,True,GTC,,,20201228 09:30:00 EST, 143541499≥+16.26, 143541499≥+117073,margin ≥+20
BSMX,DU3053535,3949,,177,1.79769313486232E+308,LMT,BUY,0,5.74,6.74,,True,GTC,,,20201228 09:30:00 EST, 304013727≥+5.63, 304013727≥+33218,margin ≥+20
BVN,DU3053535,3948,,74,1.79769313486232E+308,TRAIL,SELL,1.01,0,12.46,,False,GTC,,
BVN,DU3053535,3947,,74,1.79769313486232E+308,LMT,SELL,0,16,17,,True,GTC,,
BVN,DU3053535,3946,,74,1.79769313486232E+308,LMT,BUY,0,13.74,14.74,,True,GTC,,,20201228 09:30:00 EST, 1715014≥+13.47, 1715014≥+456909,margin ≥+20
BZH,DU3053535,3945,,59,1.79769313486232E+308,TRAIL,SELL,1.35,0,15.58,,False,GTC,,
BZH,DU3053535,3944,,59,1.79769313486232E+308,LMT,SELL,0,20.31,21.31,,True,GTC,,
BZH,DU3053535,3943,,59,1.79769313486232E+308,LMT,BUY,0,17.27,18.27,,True,GTC,,,20201228 09:30:00 EST, 114945521≥+16.93, 114945521≥+64073,margin ≥+20
CADE,DU3053535,3942,,60,1.79769313486232E+308,TRAIL,SELL,1.17,0,15.45,,False,GTC,,
BSIG,DU3053535,3957,,50,1.79769313486232E+308,TRAIL,SELL,1.12,0,18.87,,False,GTC,,
BSIG,DU3053535,3956,,50,1.79769313486232E+308,LMT,SELL,0,22.79,23.79,,True,GTC,,
BSIG,DU3053535,3955,,50,1.79769313486232E+308,LMT,BUY,0,20.39,21.39,,True,GTC,,,20201228 09:30:00 EST, 374293788≥+19.99, 374293788≥+356491,margin ≥+20
BSM,DU3053535,3954,,133,1.79769313486232E+308,TRAIL,SELL,0.48,0,7.04,,False,GTC,,
BSM,DU3053535,3953,,133,1.79769313486232E+308,LMT,SELL,0,8.7,9.7,,True,GTC,,
BSM,DU3053535,3952,,133,1.79769313486232E+308,LMT,BUY,0,7.66,8.66,,True,GTC,,,20201228 09:30:00 EST, 192496059≥+7.51, 192496059≥+68618,margin ≥+20
BSMX,DU3053535,3951,,177,1.79769313486232E+308,TRAIL,SELL,0.38,0,5.25,,False,GTC,,
BSMX,DU3053535,3950,,177,1.79769313486232E+308,LMT,SELL,0,6.57,7.57,,True,GTC,,
BRX,DU3053535,3965,,57,1.79769313486232E+308,LMT,SELL,0,20.38,21.38,,True,GTC,,
BRX,DU3053535,3964,,57,1.79769313486232E+308,LMT,BUY,0,17.76,18.76,,True,GTC,,,20201228 09:30:00 EST, 137494497≥+17.42, 137494497≥+1029564,margin ≥+20
BSAC,DU3053535,3963,,49,1.79769313486232E+308,TRAIL,SELL,1.05,0,19.35,,False,GTC,,
BSAC,DU3053535,3962,,49,1.79769313486232E+308,LMT,SELL,0,23.04,24.04,,True,GTC,,
BSAC,DU3053535,3961,,49,1.79769313486232E+308,LMT,BUY,0,20.81,21.81,,True,GTC,,,20201228 09:30:00 EST, 2586083≥+20.41, 2586083≥+34655,margin ≥+20
BSBR,DU3053535,3960,,108,1.79769313486232E+308,TRAIL,SELL,0.58,0,8.64,,False,GTC,,
BSBR,DU3053535,3959,,108,1.79769313486232E+308,LMT,SELL,0,10.67,11.67,,True,GTC,,
