CompletedStatus,Algo,Account,OrderId,OrderRef,LocalSymbol,Symbol,Exchange,TotalQuantity,OrderType,Action,Algo,Aux,Lmt,OutsideRth,Tif,Conditions
,,DU2321894,-38,,AREC,AREC,SMART,246,STP,SELL,,1.6,0,False,GTC
,,DU2321894,-39,,AREC,AREC,SMART,246,LMT,SELL,,0,2.43,True,GTC
,,DU2321894,-41,,AHPI,AHPI,SMART,84,STP,SELL,,4.63,0,False,GTC
,,DU2321894,-42,,AHPI,AHPI,SMART,84,LMT,SELL,,0,8.13,True,GTC
,,DU2321894,-43,,AHPI,AHPI,SMART,84,STP LMT,BUY,,5.91,5.97,True,GTC
,,DU2321894,-44,,DTSS,DTSS,SMART,219,STP LMT,BUY,,2.45,2.5,True,GTC
,,DU2321894,-45,,BNGO,BNGO,SMART,769,STP,SELL,,0.48,0,False,GTC
,,DU2321894,-46,,BNGO,BNGO,SMART,769,LMT,SELL,,0,0.98,True,GTC
,,DU2321894,1722,,MFGP,MFGP,SMART,1,STP,SELL,,5.5,0,False,GTC
,,DU2321894,-47,,BNGO,BNGO,SMART,769,STP LMT,BUY,,0.57,0.58,True,GTC
,,DU2321894,-48,,BIMI,BIMI,SMART,229,STP,SELL,,1.75,0,False,GTC
,,DU2321894,-49,,BIMI,BIMI,SMART,229,LMT,SELL,,0,3.48,True,GTC
,,DU2321894,-50,,BIMI,BIMI,SMART,229,STP LMT,BUY,,2.18,2.2,True,GTC
,,DU2321894,-51,,ATHE,ATHE,SMART,306,STP,SELL,,1.36,0,False,GTC
,,DU2321894,-55,,ENG,ENG,SMART,203,STP,SELL,,1.5,0,False,GTC
,,DU2321894,-56,,ENG,ENG,SMART,203,LMT,SELL,,0,4.32,True,GTC
,,DU2321894,-57,,ENG,ENG,SMART,203,STP LMT,BUY,,2.01,2.05,True,GTC
,,DU2321894,1721,,MFGP,MFGP,SMART,1,LMT,SELL,,0,6.49,True,GTC
,,DU2321894,-58,,DTSS,DTSS,SMART,219,STP,SELL,,1.93,0,False,GTC
,,DU2321894,-59,,DTSS,DTSS,SMART,219,LMT,SELL,,0,2.89,True,GTC
,,DU2321894,1803,,NCTY,NCTY,SMART,250,STP,SELL,,2.75,0,False,GTC
