,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
LAUR,DU3053535,9403,,62,1.79769313486232E+308,LMT,BUY,0,16.27,17.27,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 264485686≥+15.95, 264485686≥+223291,margin ≥+20
LAUR,DU3053535,9404,,62,1.79769313486232E+308,LMT,SELL,0,18.54,19.54,,1.79769313486232E+308,True,GTC,,
LBAI,DU3053535,9401,,74,1.79769313486232E+308,LMT,SELL,0,15.84,16.84,,1.79769313486232E+308,True,GTC,,
LBAI,DU3053535,9402,,74,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,12.6,,-6.3,True,GTC,,
LAND,DU3053535,9407,,63,1.79769313486232E+308,LMT,SELL,0,18.71,19.71,,1.79769313486232E+308,True,GTC,,
LAND,DU3053535,9408,,63,1.79769313486232E+308,TRAIL LIMIT,SELL,0.98,0,14.78,,-7.39,True,GTC,,
LAUR,DU3053535,9405,,62,1.79769313486232E+308,TRAIL LIMIT,SELL,0.86,0,15.09,,-7.54,True,GTC,,
LAND,DU3053535,9406,,63,1.79769313486232E+308,LMT,BUY,0,16.07,17.07,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 121560173≥+15.76, 121560173≥+115655,margin ≥+20
KRG,DU3053535,9427,,61,1.79769313486232E+308,LMT,BUY,0,16.5,17.5,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 161703135≥+16.18, 161703135≥+221455,margin ≥+20
KRG,DU3053535,9428,,61,1.79769313486232E+308,LMT,SELL,0,19.61,20.61,,1.79769313486232E+308,True,GTC,,
KRNY,DU3053535,9425,,89,1.79769313486232E+308,LMT,SELL,0,13.08,14.08,,1.79769313486232E+308,True,GTC,,
KRNY,DU3053535,9426,,89,1.79769313486232E+308,TRAIL LIMIT,SELL,0.64,0,10.54,,-5.27,True,GTC,,
KREF,DU3053535,9431,,51,1.79769313486232E+308,LMT,SELL,0,22.05,23.05,,1.79769313486232E+308,True,GTC,,
KREF,DU3053535,9432,,51,1.79769313486232E+308,TRAIL LIMIT,SELL,0.92,0,18.37,,-9.19,True,GTC,,
KRG,DU3053535,9429,,61,1.79769313486232E+308,TRAIL LIMIT,SELL,1.14,0,15.04,,-7.52,True,GTC,,
KREF,DU3053535,9430,,51,1.79769313486232E+308,LMT,BUY,0,19.68,20.68,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 274859321≥+19.29, 274859321≥+73727,margin ≥+20
KT,DU3053535,9419,,85,1.79769313486232E+308,LMT,SELL,0,12.69,13.69,,1.79769313486232E+308,True,GTC,,
KT,DU3053535,9420,,85,1.79769313486232E+308,TRAIL LIMIT,SELL,0.34,0,11.31,,-5.66,True,GTC,,
KW,DU3053535,9417,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,0.9,0,17.6,,-8.8,True,GTC,,
KT,DU3053535,9418,,85,1.79769313486232E+308,LMT,BUY,0,11.89,12.89,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6608089≥+11.65, 6608089≥+153236,margin ≥+20
KRO,DU3053535,9423,,63,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,14.87,,-7.43,True,GTC,,
KRNY,DU3053535,9424,,89,1.79769313486232E+308,LMT,BUY,0,11.4,12.4,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 195014109≥+11.18, 195014109≥+193473,margin ≥+20
KRO,DU3053535,9421,,63,1.79769313486232E+308,LMT,BUY,0,16,17,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 26976201≥+15.68, 26976201≥+71873,margin ≥+20
KRO,DU3053535,9422,,63,1.79769313486232E+308,LMT,SELL,0,18.12,19.12,,1.79769313486232E+308,True,GTC,,
LNDC,DU3053535,9379,,85,1.79769313486232E+308,LMT,BUY,0,11.92,12.92,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4814301≥+11.69, 4814301≥+89618,margin ≥+20
LNDC,DU3053535,9380,,85,1.79769313486232E+308,LMT,SELL,0,14.19,15.19,,1.79769313486232E+308,True,GTC,,
LNTH,DU3053535,9377,,62,1.79769313486232E+308,LMT,SELL,0,20.15,21.15,,1.79769313486232E+308,True,GTC,,
LNTH,DU3053535,9378,,62,1.79769313486232E+308,TRAIL LIMIT,SELL,1.37,0,14.67,,-7.34,True,GTC,,
LLNW,DU3053535,9383,,220,1.79769313486232E+308,LMT,SELL,0,5.75,6.75,,1.79769313486232E+308,True,GTC,,
LLNW,DU3053535,9384,,220,1.79769313486232E+308,TRAIL LIMIT,SELL,0.4,0,4.14,,-2.07,True,GTC,,
LNDC,DU3053535,9381,,85,1.79769313486232E+308,TRAIL LIMIT,SELL,0.83,0,10.86,,-5.43,True,GTC,,
LLNW,DU3053535,9382,,220,1.79769313486232E+308,LMT,BUY,0,4.63,5.63,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 44496663≥+4.54, 44496663≥+454309,margin ≥+20
LPG,DU3053535,9371,,79,1.79769313486232E+308,LMT,SELL,0,15.68,16.68,,1.79769313486232E+308,True,GTC,,
LPG,DU3053535,9372,,79,1.79769313486232E+308,TRAIL LIMIT,SELL,1.02,0,11.59,,-5.79,True,GTC,,
LPL,DU3053535,9369,,112,1.79769313486232E+308,TRAIL LIMIT,SELL,0.77,0,8.11,,-4.06,True,GTC,,
LPG,DU3053535,9370,,79,1.79769313486232E+308,LMT,BUY,0,12.87,13.87,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 150632114≥+12.62, 150632114≥+144364,margin ≥+20
LOCO,DU3053535,9375,,51,1.79769313486232E+308,TRAIL LIMIT,SELL,1.26,0,18.08,,-9.04,True,GTC,,
LNTH,DU3053535,9376,,62,1.79769313486232E+308,LMT,BUY,0,16.36,17.36,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 198250080≥+16.04, 198250080≥+799327,margin ≥+20
LOCO,DU3053535,9373,,51,1.79769313486232E+308,LMT,BUY,0,19.72,20.72,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 162104095≥+19.33, 162104095≥+70000,margin ≥+20
LOCO,DU3053535,9374,,51,1.79769313486232E+308,LMT,SELL,0,23.1,24.1,,1.79769313486232E+308,True,GTC,,
LFAC,DU3053535,9395,,90,1.79769313486232E+308,LMT,SELL,0,12.49,13.49,,1.79769313486232E+308,True,GTC,,
LFAC,DU3053535,9396,,90,1.79769313486232E+308,TRAIL LIMIT,SELL,0.46,0,10.64,,-5.32,True,GTC,,
LFC,DU3053535,9393,,88,1.79769313486232E+308,TRAIL LIMIT,SELL,0.41,0,10.9,,-5.45,True,GTC,,
LFAC,DU3053535,9394,,90,1.79769313486232E+308,LMT,BUY,0,11.33,12.33,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 323805593≥+11.11, 323805593≥+269345,margin ≥+20
LCY,DU3053535,9399,,91,1.79769313486232E+308,TRAIL LIMIT,SELL,0.68,0,10.21,,-5.11,True,GTC,,
LBAI,DU3053535,9400,,74,1.79769313486232E+308,LMT,BUY,0,13.68,14.68,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 14487955≥+13.41, 14487955≥+78509,margin ≥+20
LCY,DU3053535,9397,,91,1.79769313486232E+308,LMT,BUY,0,11.1,12.1,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 457630868≥+10.88, 457630868≥+61673,margin ≥+20
LCY,DU3053535,9398,,91,1.79769313486232E+308,LMT,SELL,0,12.91,13.91,,1.79769313486232E+308,True,GTC,,
LILAK,DU3053535,9387,,81,1.79769313486232E+308,TRAIL LIMIT,SELL,0.93,0,11.39,,-5.69,True,GTC,,
LILA,DU3053535,9388,,80,1.79769313486232E+308,LMT,BUY,0,12.73,13.73,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 301303331≥+12.48, 301303331≥+101873,margin ≥+20
LILAK,DU3053535,9385,,81,1.79769313486232E+308,LMT,BUY,0,12.56,13.56,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 301303327≥+12.32, 301303327≥+265636,margin ≥+20
LILAK,DU3053535,9386,,81,1.79769313486232E+308,LMT,SELL,0,15.09,16.09,,1.79769313486232E+308,True,GTC,,
LFC,DU3053535,9391,,88,1.79769313486232E+308,LMT,BUY,0,11.53,12.53,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 27049618≥+11.31, 27049618≥+43855,margin ≥+20
LFC,DU3053535,9392,,88,1.79769313486232E+308,LMT,SELL,0,12.53,13.53,,1.79769313486232E+308,True,GTC,,
LILA,DU3053535,9389,,80,1.79769313486232E+308,LMT,SELL,0,15.73,16.73,,1.79769313486232E+308,True,GTC,,
LILA,DU3053535,9390,,80,1.79769313486232E+308,TRAIL LIMIT,SELL,1.08,0,11.39,,-5.69,True,GTC,,
MBI,DU3053535,9349,,129,1.79769313486232E+308,LMT,BUY,0,7.9,8.9,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 9388≥+7.75, 9388≥+497055,margin ≥+20
MBI,DU3053535,9350,,129,1.79769313486232E+308,LMT,SELL,0,9.76,10.76,,1.79769313486232E+308,True,GTC,,
MBT,DU3053535,9347,,108,1.79769313486232E+308,LMT,SELL,0,10.39,11.39,,1.79769313486232E+308,True,GTC,,
MBT,DU3053535,9348,,108,1.79769313486232E+308,TRAIL LIMIT,SELL,0.4,0,8.79,,-4.39,True,GTC,,
MAT,DU3053535,9353,,53,1.79769313486232E+308,LMT,SELL,0,22.75,23.75,,1.79769313486232E+308,True,GTC,,
MAT,DU3053535,9354,,53,1.79769313486232E+308,TRAIL LIMIT,SELL,1.34,0,17.4,,-8.7,True,GTC,,
MBI,DU3053535,9351,,129,1.79769313486232E+308,TRAIL LIMIT,SELL,0.67,0,7.08,,-3.54,True,GTC,,
MAT,DU3053535,9352,,53,1.79769313486232E+308,LMT,BUY,0,19.11,20.11,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 9365≥+18.74, 9365≥+869709,margin ≥+20
MDP,DU3053535,9341,,47,1.79769313486232E+308,LMT,SELL,0,26.93,27.93,,1.79769313486232E+308,True,GTC,,
MDP,DU3053535,9342,,47,1.79769313486232E+308,TRAIL LIMIT,SELL,1.89,0,19.37,,-9.68,True,GTC,,
MDRX,DU3053535,9339,,65,1.79769313486232E+308,TRAIL LIMIT,SELL,1.12,0,14.11,,-7.05,True,GTC,,
MDP,DU3053535,9340,,47,1.79769313486232E+308,LMT,BUY,0,21.69,22.69,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 9474≥+21.26, 9474≥+89709,margin ≥+20
MCBC,DU3053535,9345,,113,1.79769313486232E+308,TRAIL LIMIT,SELL,0.55,0,8.29,,-4.15,True,GTC,,
MBT,DU3053535,9346,,108,1.79769313486232E+308,LMT,BUY,0,9.37,10.37,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 9541728≥+9.19, 9541728≥+629545,margin ≥+20
MCBC,DU3053535,9343,,113,1.79769313486232E+308,LMT,BUY,0,9.01,10.01,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 14487961≥+8.83, 14487961≥+53127,margin ≥+20
MCBC,DU3053535,9344,,113,1.79769313486232E+308,LMT,SELL,0,10.47,11.47,,1.79769313486232E+308,True,GTC,,
LXP,DU3053535,9363,,87,1.79769313486232E+308,TRAIL LIMIT,SELL,0.53,0,10.86,,-5.43,True,GTC,,
LUMN,DU3053535,9364,,92,1.79769313486232E+308,LMT,BUY,0,11.04,12.04,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6180≥+10.82, 6180≥+5457164,margin ≥+20
LXP,DU3053535,9361,,87,1.79769313486232E+308,LMT,BUY,0,11.62,12.62,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 9293≥+11.4, 9293≥+1202364,margin ≥+20
LXP,DU3053535,9362,,87,1.79769313486232E+308,LMT,SELL,0,12.99,13.99,,1.79769313486232E+308,True,GTC,,
LPL,DU3053535,9367,,112,1.79769313486232E+308,LMT,BUY,0,9.05,10.05,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 29914393≥+8.87, 29914393≥+40855,margin ≥+20
LPL,DU3053535,9368,,112,1.79769313486232E+308,LMT,SELL,0,11.18,12.18,,1.79769313486232E+308,True,GTC,,
LUMN,DU3053535,9365,,92,1.79769313486232E+308,LMT,SELL,0,12.9,13.9,,1.79769313486232E+308,True,GTC,,
LUMN,DU3053535,9366,,92,1.79769313486232E+308,TRAIL LIMIT,SELL,0.69,0,10.13,,-5.07,True,GTC,,
MAG,DU3053535,9356,,51,1.79769313486232E+308,LMT,SELL,0,24.96,25.96,,1.79769313486232E+308,True,GTC,,
MAG,DU3053535,9355,,51,1.79769313486232E+308,LMT,BUY,0,19.84,20.84,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 39924463≥+19.45, 39924463≥+93945,margin ≥+20
LYTS,DU3053535,9359,,109,1.79769313486232E+308,LMT,SELL,0,11.56,12.56,,1.79769313486232E+308,True,GTC,,
LYTS,DU3053535,9360,,109,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,8.33,,-4.16,True,GTC,,
MAG,DU3053535,9357,,51,1.79769313486232E+308,TRAIL LIMIT,SELL,1.84,0,17.61,,-8.8,True,GTC,,
LYTS,DU3053535,9358,,109,1.79769313486232E+308,LMT,BUY,0,9.32,10.32,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 271419≥+9.14, 271419≥+78091,margin ≥+20
MNRL,DU3053535,9314,,81,1.79769313486232E+308,LMT,SELL,0,15.37,16.37,,1.79769313486232E+308,True,GTC,,
MNRL,DU3053535,9315,,81,1.79769313486232E+308,TRAIL LIMIT,SELL,1.05,0,11.15,,-5.57,True,GTC,,
MOD,DU3053535,9312,,74,1.79769313486232E+308,TRAIL LIMIT,SELL,1.06,0,12.3,,-6.15,True,GTC,,
MNRL,DU3053535,9313,,81,1.79769313486232E+308,LMT,BUY,0,12.45,13.45,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 360978693≥+12.21, 360978693≥+226236,margin ≥+20
MNR,DU3053535,9318,,55,1.79769313486232E+308,TRAIL LIMIT,SELL,1.13,0,17,,-8.5,True,GTC,,
MMX,DU3053535,9319,,178,1.79769313486232E+308,LMT,BUY,0,5.73,6.73,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 367529075≥+5.62, 367529075≥+27745,margin ≥+20
MNR,DU3053535,9316,,55,1.79769313486232E+308,LMT,BUY,0,18.5,19.5,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4815006≥+18.13, 4815006≥+347055,margin ≥+20
MNR,DU3053535,9317,,55,1.79769313486232E+308,LMT,SELL,0,21.53,22.53,,1.79769313486232E+308,True,GTC,,
MRTN,DU3053535,9306,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,1,0,17.4,,-8.7,True,GTC,,
MOMO,DU3053535,9307,,68,1.79769313486232E+308,LMT,BUY,0,14.87,15.87,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 176573143≥+14.58, 176573143≥+795218,margin ≥+20
MRTN,DU3053535,9304,,54,1.79769313486232E+308,LMT,BUY,0,18.77,19.77,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 272052≥+18.4, 272052≥+198982,margin ≥+20
MRTN,DU3053535,9305,,54,1.79769313486232E+308,LMT,SELL,0,21.4,22.4,,1.79769313486232E+308,True,GTC,,
MOD,DU3053535,9310,,74,1.79769313486232E+308,LMT,BUY,0,13.63,14.63,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 271952≥+13.36, 271952≥+122382,margin ≥+20
MOD,DU3053535,9311,,74,1.79769313486232E+308,LMT,SELL,0,16.54,17.54,,1.79769313486232E+308,True,GTC,,
MOMO,DU3053535,9308,,68,1.79769313486232E+308,LMT,SELL,0,18.31,19.31,,1.79769313486232E+308,True,GTC,,
MOMO,DU3053535,9309,,68,1.79769313486232E+308,TRAIL LIMIT,SELL,1.24,0,13.34,,-6.67,True,GTC,,
MFC,DU3053535,9330,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,17.55,,-8.77,True,GTC,,
MERC,DU3053535,9334,,91,1.79769313486232E+308,LMT,BUY,0,11.18,12.18,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 271712≥+10.96, 271712≥+178618,margin ≥+20
MFC,DU3053535,9328,,54,1.79769313486232E+308,LMT,BUY,0,18.73,19.73,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 1447100≥+18.37, 1447100≥+271655,margin ≥+20
MFC,DU3053535,9329,,54,1.79769313486232E+308,LMT,SELL,0,20.8,21.8,,1.79769313486232E+308,True,GTC,,
MDRX,DU3053535,9337,,65,1.79769313486232E+308,LMT,BUY,0,15.54,16.54,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6857738≥+15.23, 6857738≥+1360836,margin ≥+20
MDRX,DU3053535,9338,,65,1.79769313486232E+308,LMT,SELL,0,18.59,19.59,,1.79769313486232E+308,True,GTC,,
MERC,DU3053535,9335,,91,1.79769313486232E+308,LMT,SELL,0,13.85,14.85,,1.79769313486232E+308,True,GTC,,
MERC,DU3053535,9336,,91,1.79769313486232E+308,TRAIL LIMIT,SELL,0.96,0,10,,-5,True,GTC,,
MLCO,DU3053535,9322,,50,1.79769313486232E+308,LMT,BUY,0,20.05,21.05,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 41951960≥+19.65, 41951960≥+285436,margin ≥+20
MLCO,DU3053535,9323,,50,1.79769313486232E+308,LMT,SELL,0,23.1,24.1,,1.79769313486232E+308,True,GTC,,
MMX,DU3053535,9320,,178,1.79769313486232E+308,LMT,SELL,0,7.09,8.09,,1.79769313486232E+308,True,GTC,,
MMX,DU3053535,9321,,178,1.79769313486232E+308,TRAIL LIMIT,SELL,0.49,0,5.12,,-2.56,True,GTC,,
MFG,DU3053535,9326,,374,1.79769313486232E+308,LMT,SELL,0,3.01,4.01,,1.79769313486232E+308,True,GTC,,
MFG,DU3053535,9327,,374,1.79769313486232E+308,TRAIL LIMIT,SELL,0.11,0,2.56,,-1.28,True,GTC,,
MLCO,DU3053535,9324,,50,1.79769313486232E+308,TRAIL LIMIT,SELL,1.15,0,18.51,,-9.26,True,GTC,,
MFG,DU3053535,9325,,374,1.79769313486232E+308,LMT,BUY,0,2.72,3.72,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 41597034≥+2.67, 41597034≥+53636,margin ≥+20
ESI,DU3053535,9797,,54,1.79769313486232E+308,LMT,SELL,0,21.53,22.53,,1.79769313486232E+308,True,GTC,,
ESI,DU3053535,9798,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,1.02,0,17.45,,-8.73,True,GTC,,
ESRT,DU3053535,9795,,95,1.79769313486232E+308,TRAIL LIMIT,SELL,0.81,0,9.62,,-4.81,True,GTC,,
ESI,DU3053535,9796,,54,1.79769313486232E+308,LMT,BUY,0,18.84,19.84,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 351659552≥+18.47, 351659552≥+1074673,margin ≥+20
ERII,DU3053535,9801,,71,1.79769313486232E+308,TRAIL LIMIT,SELL,0.82,0,13.16,,-6.58,True,GTC,,
ERIC,DU3053535,9802,,80,1.79769313486232E+308,LMT,BUY,0,12.63,13.63,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 268977≥+12.39, 268977≥+375855,margin ≥+20
ERII,DU3053535,9799,,71,1.79769313486232E+308,LMT,BUY,0,14.26,15.26,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 52289867≥+13.98, 52289867≥+93491,margin ≥+20
ERII,DU3053535,9800,,71,1.79769313486232E+308,LMT,SELL,0,16.46,17.46,,1.79769313486232E+308,True,GTC,,
ETACU,DU3053535,9789,,91,1.79769313486232E+308,TRAIL LIMIT,SELL,0.31,0,10.61,,-5.3,True,GTC,,
ETAC,DU3053535,9790,,92,1.79769313486232E+308,LMT,BUY,0,11.02,12.02,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 446082458≥+10.8, 446082458≥+122764,margin ≥+20
ETACU,DU3053535,9787,,91,1.79769313486232E+308,LMT,BUY,0,11.14,12.14,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 437449284≥+10.92, 437449284≥+24200,margin ≥+20
ETACU,DU3053535,9788,,91,1.79769313486232E+308,LMT,SELL,0,11.87,12.87,,1.79769313486232E+308,True,GTC,,
ESRT,DU3053535,9793,,95,1.79769313486232E+308,LMT,BUY,0,10.65,11.65,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 135702590≥+10.44, 135702590≥+492327,margin ≥+20
ESRT,DU3053535,9794,,95,1.79769313486232E+308,LMT,SELL,0,12.88,13.88,,1.79769313486232E+308,True,GTC,,
ETAC,DU3053535,9791,,92,1.79769313486232E+308,LMT,SELL,0,12.64,13.64,,1.79769313486232E+308,True,GTC,,
ETAC,DU3053535,9792,,92,1.79769313486232E+308,TRAIL LIMIT,SELL,0.61,0,10.19,,-5.1,True,GTC,,
ENIC,DU3053535,9813,,246,1.79769313486232E+308,TRAIL LIMIT,SELL,0.26,0,3.8,,-1.9,True,GTC,,
ENIA,DU3053535,9814,,116,1.79769313486232E+308,LMT,BUY,0,8.77,9.77,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6867≥+8.6, 6867≥+183345,margin ≥+20
ENIC,DU3053535,9811,,246,1.79769313486232E+308,LMT,BUY,0,4.14,5.14,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 229115037≥+4.06, 229115037≥+144891,margin ≥+20
ENIC,DU3053535,9812,,246,1.79769313486232E+308,LMT,SELL,0,4.84,5.84,,1.79769313486232E+308,True,GTC,,
ELP,DU3053535,9817,,66,1.79769313486232E+308,LMT,BUY,0,15.44,16.44,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 5021359≥+15.14, 5021359≥+124782,margin ≥+20
ELP,DU3053535,9818,,66,1.79769313486232E+308,LMT,SELL,0,17.82,18.82,,1.79769313486232E+308,True,GTC,,
ENIA,DU3053535,9815,,116,1.79769313486232E+308,LMT,SELL,0,10.18,11.18,,1.79769313486232E+308,True,GTC,,
ENIA,DU3053535,9816,,116,1.79769313486232E+308,TRAIL LIMIT,SELL,0.52,0,8.08,,-4.04,True,GTC,,
EQX,DU3053535,9805,,89,1.79769313486232E+308,LMT,BUY,0,11.42,12.42,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 379386501≥+11.2, 379386501≥+147527,margin ≥+20
EQX,DU3053535,9806,,89,1.79769313486232E+308,LMT,SELL,0,14,15,,1.79769313486232E+308,True,GTC,,
ERIC,DU3053535,9803,,80,1.79769313486232E+308,LMT,SELL,0,14.01,15.01,,1.79769313486232E+308,True,GTC,,
ERIC,DU3053535,9804,,80,1.79769313486232E+308,TRAIL LIMIT,SELL,0.54,0,11.85,,-5.93,True,GTC,,
EQNR,DU3053535,9809,,56,1.79769313486232E+308,LMT,SELL,0,21.35,22.35,,1.79769313486232E+308,True,GTC,,
EQNR,DU3053535,9810,,56,1.79769313486232E+308,TRAIL LIMIT,SELL,1.2,0,16.56,,-8.28,True,GTC,,
EQX,DU3053535,9807,,89,1.79769313486232E+308,TRAIL LIMIT,SELL,0.93,0,10.26,,-5.13,True,GTC,,
EQNR,DU3053535,9808,,56,1.79769313486232E+308,LMT,BUY,0,18.11,19.11,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 316805238≥+17.76, 316805238≥+215600,margin ≥+20
FBP,DU3053535,9765,,104,1.79769313486232E+308,TRAIL LIMIT,SELL,0.63,0,8.92,,-4.46,True,GTC,,
FBM,DU3053535,9766,,51,1.79769313486232E+308,LMT,BUY,0,19.84,20.84,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 265109881≥+19.45, 265109881≥+115255,margin ≥+20
FBP,DU3053535,9763,,104,1.79769313486232E+308,LMT,BUY,0,9.74,10.74,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 80986824≥+9.55, 80986824≥+1085291,margin ≥+20
FBP,DU3053535,9764,,104,1.79769313486232E+308,LMT,SELL,0,11.42,12.42,,1.79769313486232E+308,True,GTC,,
FAII,DU3053535,9769,,87,1.79769313486232E+308,LMT,BUY,0,11.72,12.72,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 447585298≥+11.49, 447585298≥+29491,margin ≥+20
FAII,DU3053535,9770,,87,1.79769313486232E+308,LMT,SELL,0,13.89,14.89,,1.79769313486232E+308,True,GTC,,
FBM,DU3053535,9767,,51,1.79769313486232E+308,LMT,SELL,0,20.17,21.17,,1.79769313486232E+308,True,GTC,,
FBM,DU3053535,9768,,51,1.79769313486232E+308,TRAIL LIMIT,SELL,0.24,0,19.21,,-9.6,True,GTC,,
FCF,DU3053535,9757,,89,1.79769313486232E+308,LMT,BUY,0,11.4,12.4,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 7077≥+11.18, 7077≥+500891,margin ≥+20
FCF,DU3053535,9758,,89,1.79769313486232E+308,LMT,SELL,0,12.95,13.95,,1.79769313486232E+308,True,GTC,,
FF,DU3053535,9755,,76,1.79769313486232E+308,LMT,SELL,0,15.54,16.54,,1.79769313486232E+308,True,GTC,,
FF,DU3053535,9756,,76,1.79769313486232E+308,TRAIL LIMIT,SELL,0.84,0,12.17,,-6.09,True,GTC,,
FCAU,DU3053535,9761,,54,1.79769313486232E+308,LMT,SELL,0,20.84,21.84,,1.79769313486232E+308,True,GTC,,
FCAU,DU3053535,9762,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,0.84,0,17.5,,-8.75,True,GTC,,
FCF,DU3053535,9759,,89,1.79769313486232E+308,TRAIL LIMIT,SELL,0.59,0,10.59,,-5.29,True,GTC,,
FCAU,DU3053535,9760,,54,1.79769313486232E+308,LMT,BUY,0,18.7,19.7,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 169622610≥+18.33, 169622610≥+202455,margin ≥+20
EVH,DU3053535,9781,,60,1.79769313486232E+308,LMT,BUY,0,16.91,17.91,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 196183267≥+16.58, 196183267≥+205673,margin ≥+20
EVH,DU3053535,9782,,60,1.79769313486232E+308,LMT,SELL,0,19.82,20.82,,1.79769313486232E+308,True,GTC,,
EXPC,DU3053535,9779,,86,1.79769313486232E+308,LMT,SELL,0,14.4,15.4,,1.79769313486232E+308,True,GTC,,
EXPC,DU3053535,9780,,86,1.79769313486232E+308,TRAIL LIMIT,SELL,0.93,0,10.68,,-5.34,True,GTC,,
EURN,DU3053535,9785,,115,1.79769313486232E+308,LMT,SELL,0,10.13,11.13,,1.79769313486232E+308,True,GTC,,
EURN,DU3053535,9786,,115,1.79769313486232E+308,TRAIL LIMIT,SELL,0.5,0,8.14,,-4.07,True,GTC,,
EVH,DU3053535,9783,,60,1.79769313486232E+308,TRAIL LIMIT,SELL,1.08,0,15.49,,-7.74,True,GTC,,
EURN,DU3053535,9784,,115,1.79769313486232E+308,LMT,BUY,0,8.81,9.81,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 174267357≥+8.63, 174267357≥+69582,margin ≥+20
F,DU3053535,9773,,105,1.79769313486232E+308,LMT,SELL,0,11.06,12.06,,1.79769313486232E+308,True,GTC,,
F,DU3053535,9774,,105,1.79769313486232E+308,TRAIL LIMIT,SELL,0.52,0,8.97,,-4.49,True,GTC,,
