,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
ADT,DU3053535,8483,,111,1.79769313486232E+308,LMT,SELL,0,11.06,12.06,,1.79769313486232E+308,True,GTC,,
ADT,DU3053535,8484,,111,1.79769313486232E+308,TRAIL LIMIT,SELL,0.69,0,8.29,,-4.14,True,GTC,,
AEO,DU3053535,8473,,47,1.79769313486232E+308,LMT,BUY,0,21.57,22.57,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4725951≥+21.15, 4725951≥+494091,margin ≥+20
AEO,DU3053535,8474,,47,1.79769313486232E+308,LMT,SELL,0,25.95,26.95,,1.79769313486232E+308,True,GTC,,
AG,DU3053535,8471,,74,1.79769313486232E+308,LMT,SELL,0,17,18,,1.79769313486232E+308,True,GTC,,
AG,DU3053535,8472,,74,1.79769313486232E+308,TRAIL LIMIT,SELL,1.21,0,12.18,,-6.09,True,GTC,,
AMCR,DU3053535,8477,,83,1.79769313486232E+308,LMT,SELL,0,13.62,14.62,,1.79769313486232E+308,True,GTC,,
AMCR,DU3053535,8478,,83,1.79769313486232E+308,TRAIL LIMIT,SELL,0.53,0,11.5,,-5.75,True,GTC,,
AEO,DU3053535,8475,,47,1.79769313486232E+308,TRAIL LIMIT,SELL,1.6,0,19.55,,-9.78,True,GTC,,
AMCR,DU3053535,8476,,83,1.79769313486232E+308,LMT,BUY,0,12.27,13.27,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 364845429≥+12.03, 364845429≥+3398745,margin ≥+20
AEG,DU3053535,8497,,250,1.79769313486232E+308,LMT,BUY,0,4.07,5.07,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4200≥+3.99, 4200≥+62855,margin ≥+20
AEG,DU3053535,8498,,250,1.79769313486232E+308,LMT,SELL,0,4.81,5.81,,1.79769313486232E+308,True,GTC,,
AACQ,DU3053535,8495,,89,1.79769313486232E+308,LMT,SELL,0,13.02,14.02,,1.79769313486232E+308,True,GTC,,
AACQ,DU3053535,8496,,89,1.79769313486232E+308,TRAIL LIMIT,SELL,0.64,0,10.48,,-5.24,True,GTC,,
ASX,DU3053535,8501,,165,1.79769313486232E+308,LMT,SELL,0,7.08,8.08,,1.79769313486232E+308,True,GTC,,
ASX,DU3053535,8502,,165,1.79769313486232E+308,TRAIL LIMIT,SELL,0.35,0,5.68,,-2.84,True,GTC,,
AEG,DU3053535,8499,,250,1.79769313486232E+308,TRAIL LIMIT,SELL,0.27,0,3.71,,-1.85,True,GTC,,
ASX,DU3053535,8500,,165,1.79769313486232E+308,LMT,BUY,0,6.15,7.15,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 314244771≥+6.03, 314244771≥+77200,margin ≥+20
BBVA,DU3053535,8489,,187,1.79769313486232E+308,LMT,SELL,0,6.53,7.53,,1.79769313486232E+308,True,GTC,,
BBVA,DU3053535,8490,,187,1.79769313486232E+308,TRAIL LIMIT,SELL,0.4,0,4.93,,-2.47,True,GTC,,
ANH,DU3053535,8487,,342,1.79769313486232E+308,TRAIL LIMIT,SELL,0.26,0,2.66,,-1.33,True,GTC,,
BBVA,DU3053535,8488,,187,1.79769313486232E+308,LMT,BUY,0,5.44,6.44,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 4815≥+5.33, 4815≥+147527,margin ≥+20
ACI,DU3053535,8493,,60,1.79769313486232E+308,TRAIL LIMIT,SELL,0.93,0,15.55,,-7.78,True,GTC,,
AACQ,DU3053535,8494,,89,1.79769313486232E+308,LMT,BUY,0,11.33,12.33,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 443757877≥+11.11, 443757877≥+153673,margin ≥+20
ACI,DU3053535,8491,,60,1.79769313486232E+308,LMT,BUY,0,16.81,17.81,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 429435235≥+16.48, 429435235≥+446691,margin ≥+20
ACI,DU3053535,8492,,60,1.79769313486232E+308,LMT,SELL,0,19.27,20.27,,1.79769313486232E+308,True,GTC,,
ABEV,DU3053535,8465,,298,1.79769313486232E+308,LMT,SELL,0,4.11,5.11,,1.79769313486232E+308,True,GTC,,
ABEV,DU3053535,8466,,298,1.79769313486232E+308,TRAIL LIMIT,SELL,0.25,0,3.09,,-1.54,True,GTC,,
BBD,DU3053535,8463,,176,1.79769313486232E+308,TRAIL LIMIT,SELL,0.38,0,5.3,,-2.65,True,GTC,,
ABEV,DU3053535,8464,,298,1.79769313486232E+308,LMT,BUY,0,3.41,4.41,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 137736417≥+3.35, 137736417≥+2119909,margin ≥+20
AUY,DU3053535,8469,,164,1.79769313486232E+308,TRAIL LIMIT,SELL,0.46,0,5.62,,-2.81,True,GTC,,
AG,DU3053535,8470,,74,1.79769313486232E+308,LMT,BUY,0,13.65,14.65,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 41855679≥+13.38, 41855679≥+466127,margin ≥+20
AUY,DU3053535,8467,,164,1.79769313486232E+308,LMT,BUY,0,6.21,7.21,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 26985516≥+6.08, 26985516≥+1160618,margin ≥+20
AUY,DU3053535,8468,,164,1.79769313486232E+308,LMT,SELL,0,7.46,8.46,,1.79769313486232E+308,True,GTC,,
BBD,DU3053535,8461,,176,1.79769313486232E+308,LMT,BUY,0,5.79,6.79,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 28213000≥+5.68, 28213000≥+1742873,margin ≥+20
BBD,DU3053535,8462,,176,1.79769313486232E+308,LMT,SELL,0,6.82,7.82,,1.79769313486232E+308,True,GTC,,
TWNK,DU3053535,8769,,68,1.79769313486232E+308,TRAIL LIMIT,SELL,0.64,0,14.01,,-7,True,GTC,,
TWCT,DU3053535,8770,,89,1.79769313486232E+308,LMT,BUY,0,11.43,12.43,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 453054789≥+11.21, 453054789≥+96509,margin ≥+20
TWNK,DU3053535,8767,,68,1.79769313486232E+308,LMT,BUY,0,14.94,15.94,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 254457734≥+14.65, 254457734≥+472673,margin ≥+20
TWNK,DU3053535,8768,,68,1.79769313486232E+308,LMT,SELL,0,16.57,17.57,,1.79769313486232E+308,True,GTC,,
TVTY,DU3053535,8773,,48,1.79769313486232E+308,LMT,BUY,0,21,22,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 261988977≥+20.58, 261988977≥+193836,margin ≥+20
TVTY,DU3053535,8774,,48,1.79769313486232E+308,LMT,SELL,0,25.58,26.58,,1.79769313486232E+308,True,GTC,,
TWCT,DU3053535,8771,,89,1.79769313486232E+308,LMT,SELL,0,13.77,14.77,,1.79769313486232E+308,True,GTC,,
TWCT,DU3053535,8772,,89,1.79769313486232E+308,TRAIL LIMIT,SELL,0.86,0,10.35,,-5.17,True,GTC,,
UA,DU3053535,8761,,61,1.79769313486232E+308,LMT,BUY,0,16.47,17.47,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 225590118≥+16.15, 225590118≥+713073,margin ≥+20
UA,DU3053535,8762,,61,1.79769313486232E+308,LMT,SELL,0,19.24,20.24,,1.79769313486232E+308,True,GTC,,
UAA,DU3053535,8759,,54,1.79769313486232E+308,LMT,SELL,0,22.01,23.01,,1.79769313486232E+308,True,GTC,,
UAA,DU3053535,8760,,54,1.79769313486232E+308,TRAIL LIMIT,SELL,1.18,0,17.28,,-8.64,True,GTC,,
TWO,DU3053535,8765,,141,1.79769313486232E+308,LMT,SELL,0,8.64,9.64,,1.79769313486232E+308,True,GTC,,
TWO,DU3053535,8766,,141,1.79769313486232E+308,TRAIL LIMIT,SELL,0.52,0,6.58,,-3.29,True,GTC,,
UA,DU3053535,8763,,61,1.79769313486232E+308,TRAIL LIMIT,SELL,1.03,0,15.12,,-7.56,True,GTC,,
TWO,DU3053535,8764,,141,1.79769313486232E+308,LMT,BUY,0,7.23,8.23,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 290404682≥+7.09, 290404682≥+868382,margin ≥+20
TTM,DU3053535,8785,,77,1.79769313486232E+308,LMT,BUY,0,13.23,14.23,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 31232219≥+12.97, 31232219≥+226145,margin ≥+20
TTM,DU3053535,8786,,77,1.79769313486232E+308,LMT,SELL,0,15.87,16.87,,1.79769313486232E+308,True,GTC,,
TTMI,DU3053535,8783,,70,1.79769313486232E+308,LMT,SELL,0,16.23,17.23,,1.79769313486232E+308,True,GTC,,
TTMI,DU3053535,8784,,70,1.79769313486232E+308,TRAIL LIMIT,SELL,0.68,0,13.53,,-6.76,True,GTC,,
TS,DU3053535,8789,,57,1.79769313486232E+308,LMT,SELL,0,20.62,21.62,,1.79769313486232E+308,True,GTC,,
TS,DU3053535,8790,,57,1.79769313486232E+308,TRAIL LIMIT,SELL,1.08,0,16.29,,-8.15,True,GTC,,
TTM,DU3053535,8787,,77,1.79769313486232E+308,TRAIL LIMIT,SELL,0.97,0,12,,-6,True,GTC,,
TS,DU3053535,8788,,57,1.79769313486232E+308,LMT,BUY,0,17.72,18.72,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 16675601≥+17.37, 16675601≥+120091,margin ≥+20
TV,DU3053535,8777,,116,1.79769313486232E+308,LMT,SELL,0,10.32,11.32,,1.79769313486232E+308,True,GTC,,
TV,DU3053535,8778,,116,1.79769313486232E+308,TRAIL LIMIT,SELL,0.57,0,8.04,,-4.02,True,GTC,,
TVTY,DU3053535,8775,,48,1.79769313486232E+308,TRAIL LIMIT,SELL,1.67,0,18.92,,-9.46,True,GTC,,
TV,DU3053535,8776,,116,1.79769313486232E+308,LMT,BUY,0,8.79,9.79,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 13056≥+8.61, 13056≥+81836,margin ≥+20
TU,DU3053535,8781,,48,1.79769313486232E+308,TRAIL LIMIT,SELL,0.64,0,19.97,,-9.99,True,GTC,,
TTMI,DU3053535,8782,,70,1.79769313486232E+308,LMT,BUY,0,14.49,15.49,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 10311716≥+14.21, 10311716≥+288945,margin ≥+20
TU,DU3053535,8779,,48,1.79769313486232E+308,LMT,BUY,0,21.02,22.02,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 121811784≥+20.61, 121811784≥+163236,margin ≥+20
TU,DU3053535,8780,,48,1.79769313486232E+308,LMT,SELL,0,22.54,23.54,,1.79769313486232E+308,True,GTC,,
UMH,DU3053535,8737,,60,1.79769313486232E+308,LMT,BUY,0,16.88,17.88,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 38615181≥+16.55, 38615181≥+137618,margin ≥+20
UMH,DU3053535,8738,,60,1.79769313486232E+308,LMT,SELL,0,19.66,20.66,,1.79769313486232E+308,True,GTC,,
UMPQ,DU3053535,8735,,63,1.79769313486232E+308,LMT,SELL,0,18.29,19.29,,1.79769313486232E+308,True,GTC,,
UMPQ,DU3053535,8736,,63,1.79769313486232E+308,TRAIL LIMIT,SELL,0.84,0,14.95,,-7.48,True,GTC,,
UMC,DU3053535,8741,,109,1.79769313486232E+308,LMT,SELL,0,11.65,12.65,,1.79769313486232E+308,True,GTC,,
UMC,DU3053535,8742,,109,1.79769313486232E+308,TRAIL LIMIT,SELL,0.85,0,8.26,,-4.13,True,GTC,,
UMH,DU3053535,8739,,60,1.79769313486232E+308,TRAIL LIMIT,SELL,1.04,0,15.52,,-7.76,True,GTC,,
UMC,DU3053535,8740,,109,1.79769313486232E+308,LMT,BUY,0,9.29,10.29,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 46613372≥+9.11, 46613372≥+304673,margin ≥+20
UNVR,DU3053535,8729,,51,1.79769313486232E+308,LMT,SELL,0,22.47,23.47,,1.79769313486232E+308,True,GTC,,
UNVR,DU3053535,8730,,51,1.79769313486232E+308,TRAIL LIMIT,SELL,1,0,18.49,,-9.24,True,GTC,,
UROV,DU3053535,8727,,60,1.79769313486232E+308,TRAIL LIMIT,SELL,0.49,0,16.05,,-8.02,True,GTC,,
UNVR,DU3053535,8728,,51,1.79769313486232E+308,LMT,BUY,0,19.88,20.88,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 197066575≥+19.49, 197066575≥+509527,margin ≥+20
UNIT,DU3053535,8733,,81,1.79769313486232E+308,TRAIL LIMIT,SELL,0.94,0,11.35,,-5.67,True,GTC,,
UMPQ,DU3053535,8734,,63,1.79769313486232E+308,LMT,BUY,0,16.1,17.1,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6746242≥+15.78, 6746242≥+847964,margin ≥+20
UNIT,DU3053535,8731,,81,1.79769313486232E+308,LMT,BUY,0,12.54,13.54,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 267950803≥+12.29, 267950803≥+2632818,margin ≥+20
UNIT,DU3053535,8732,,81,1.79769313486232E+308,LMT,SELL,0,15.11,16.11,,1.79769313486232E+308,True,GTC,,
UBS,DU3053535,8753,,68,1.79769313486232E+308,LMT,SELL,0,16.24,17.24,,1.79769313486232E+308,True,GTC,,
UBS,DU3053535,8754,,68,1.79769313486232E+308,TRAIL LIMIT,SELL,0.55,0,14.02,,-7.01,True,GTC,,
UE,DU3053535,8751,,67,1.79769313486232E+308,TRAIL LIMIT,SELL,1,0,13.75,,-6.87,True,GTC,,
UBS,DU3053535,8752,,68,1.79769313486232E+308,LMT,BUY,0,14.87,15.87,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 172721087≥+14.58, 172721087≥+156818,margin ≥+20
UBA,DU3053535,8757,,65,1.79769313486232E+308,TRAIL LIMIT,SELL,1.09,0,14.26,,-7.13,True,GTC,,
UAA,DU3053535,8758,,54,1.79769313486232E+308,LMT,BUY,0,18.83,19.83,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 36786278≥+18.46, 36786278≥+914891,margin ≥+20
UBA,DU3053535,8755,,65,1.79769313486232E+308,LMT,BUY,0,15.66,16.66,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6207417≥+15.35, 6207417≥+167000,margin ≥+20
UBA,DU3053535,8756,,65,1.79769313486232E+308,LMT,SELL,0,18.62,19.62,,1.79769313486232E+308,True,GTC,,
UGP,DU3053535,8745,,204,1.79769313486232E+308,TRAIL LIMIT,SELL,0.32,0,4.57,,-2.28,True,GTC,,
UFI,DU3053535,8746,,52,1.79769313486232E+308,LMT,BUY,0,19.38,20.38,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 80598748≥+19, 80598748≥+25127,margin ≥+20
UGP,DU3053535,8743,,204,1.79769313486232E+308,LMT,BUY,0,4.99,5.99,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6608627≥+4.9, 6608627≥+107945,margin ≥+20
UGP,DU3053535,8744,,204,1.79769313486232E+308,LMT,SELL,0,5.87,6.87,,1.79769313486232E+308,True,GTC,,
UE,DU3053535,8749,,67,1.79769313486232E+308,LMT,BUY,0,15.05,16.05,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 178687328≥+14.76, 178687328≥+333527,margin ≥+20
