-{2020-06-01 08:55:52-04:00}-
1	800	303.91	800	2	1288	303.96	1288	
2	600	303.9	1400	2	1200	303.97	2488	
3	625	303.89	2025	5	2400	303.98	4888	
1	100	303.88	2125	1	100	303.99	4988	
1	500	303.87	2625	2	901	304.01	5889	
1	500	303.86	3125	2	1000	304.03	6889	
1	500	303.85	3625	1	100	304.04	6989	
1	500	303.84	4125	2	1000	304.06	7989	
1	100	303.83	4225	2	1000	304.08	8989	
1	500	303.82	4725	2	1000	304.11	9989	
1	500	303.81	5225	1	500	304.13	10489	
1	500	303.8	5725	1	500	304.16	10989	
1	500	303.79	6225	2	600	304.18	11589	
1	500	303.77	6725	1	500	304.21	12089	
1	500	303.76	7225	1	500	304.23	12589	
2	501	303.75	7726	2	200	304.3	12789	
1	500	303.72	8226	1	200	304.37	12989	
3	1505	303.7	9731	1	50	304.45	13039	
1	50	303.69	9781	3	323	304.5	13362	
1	500	303.67	10281	1	100	304.59	13462	
1	500	303.65	10781	2	101	304.75	13563	
2	599	303.62	11380	1	555	304.8	14118	
1	100	303.57	11480	1	200	304.81	14318	
7	4017	303.5	15497	1	7500	304.85	21818	
1	100	303.46	15597	7	276	305	22094	
1	277	303.41	15874	1	146	305.05	22240	
1	333	303.4	16207	1	50	305.46	22290	
1	1000	303.2	17207	1	400	306.11	22690	
1	50	303.05	17257	2	2001	306.5	24691	
5	122	303	17379	1	150	306.65	24841	
1	50	302.9	17429	1	250	306.68	25091	
1	50	302.8	17479	2	52	307.5	25143	
3	61	302.25	17540	1	300	307.76	25443	
1	50	301.71	17590	1	200	308.19	25643	
1	50	301.51	17640	2	150	311	25793	
1	50	301.05	17690	1	300	316.7	26093	
1	200	300.79	17890	2	52	317	26145	
3	231	300.25	18121	1	250	322	26395	
1	230	299.43	18351	0	0	0	0	
1	300	298.47	18651	0	0	0	0	
3	2026	298	20677	0	0	0	0	
2	113	296	20790	0	0	0	0	
1	300	295.2	21090	0	0	0	0	
1	100	295	21190	0	0	0	0	
1	97	290.19	21287	0	0	0	0	
3	362	290	21649	0	0	0	0	
3	202	285	21851	0	0	0	0	
1	200	276.01	22051	0	0	0	0	
1	100	275	22151	0	0	0	0	
1	100	274	22251	0	0	0	0	
4	99	260	22350	0	0	0	0	
5	160	250	22510	0	0	0	0	
1	50	247.13	22560	0	0	0	0	
1	600	245.4	23160	0	0	0	0	
1	600	245.37	23760	0	0	0	0	
1	200	240.5	23960	0	0	0	0	
1	200	234	24160	0	0	0	0	
1	200	227.5	24360	0	0	0	0	
1	200	221.99	24560	0	0	0	0	
1	200	214.5	24760	0	0	0	0	
1	100	208.5	24860	0	0	0	0	
1	200	208	25060	0	0	0	0	
1	50	207.15	25110	0	0	0	0	
1	100	200	25210	0	0	0	0	
1	50	199	25260	0	0	0	0	
1	200	195	25460	0	0	0	0	
1	55	183.18	25515	0	0	0	0	
1	200	182	25715	0	0	0	0	
1	100	180	25815	0	0	0	0	
1	100	170	25915	0	0	0	0	
1	200	51.19	26115	0	0	0	0	
1	50	0.83	26165	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	
